No,PO number,Po Date,PO Name,Supplier,Total,Cur.
1,RFPO-5829-M4004-1,23 Jan 2026,PO for AIR PAVEMENT - Portable Diesel Air Compressor – Model KDP-5/7 - WC/SQ/12891,WECARE MACHINERY TRADING – Sole Proprietorship LLC,42000,AED
2,RFPO-1569-O121-1,23 Jan 2026,PO for OFFICE 1807 PRINTER -  Canon advance C3525i - 11657,Al Waseem Computer Devices Tr LLC SP,5150,AED
3,RFPO-5532-M4050-2,22 Jan 2026,PO for Material Request MR-108 MR - Vehicle -Great Wall Pick-up - AG25AQ426A,"FASTWIN GROUP CO.,LIMITED",1247.28,USD
4,RFPO-7139-V4359-1,22 Jan 2026,PO for Sorbent Boom,Safety 1st Systems Inc,790,USD
5,RFPO-6705-E6845-1,22 Jan 2026,PO for Screw Cover Pull,Americas Best Electricmart Inc,394.95,USD
6,RFPO-6705-V40168-1,22 Jan 2026,PO for Towable Concrete Mixer ,HOME DEPOT USA,3752.65,USD
7,RFPO-6705-V4363-1,22 Jan 2026,PO for Printing of Plans,COPY EXPRESS,2442.8,USD
8,RFPO-6705-E6844-1,21 Jan 2026,PO for Warning Light,Flight Light Inc,588.81,USD
9,RFPO-7616-V40001-1,21 Jan 2026,PO for Electrical Materials,Kelly & Hayes Electrical Industrial & Plumbing Supplies,35434.15,USD
10,RFPO-5829-V40043-1,21 Jan 2026,"PO for AIR PAVEMENT - Pavement frame Design,  fabrication and supply Ref- QT/mvl/0012/r2",Technofab Steel Fabrication & Welding LLC,42500,AED
11,RFPO-5532-V4379-1,21 Jan 2026,PO for HDPE PORTABLE TOILET - AS PER APPROVED PROFORMA - SOEASY-S20260120,FOSHAN SOEASY MODULAR HOUSING CO LTD,12050,USD
12,RFPO-7139-V40070-1,21 Jan 2026,PO for Tracer Wire for Water & Fire Piping Utility System,American International Supply Inc.,1449.99,USD
13,RFPO-7139-V40071-1,21 Jan 2026,PO for Steel Rebars for Sanitary Sewer Manhole,Nucor Rebar Fabrication,3044,USD
14,RFPO-7073-V40014-1,21 Jan 2026,PO for REDUCER WITH FLANGE,Crossweld Metal Trading Co.LLC,6111,USD
15,RFPO-6705-V40167-1,21 Jan 2026,PO for 3/8inch & 5/8in Pipe Clamps,"Scott & From Co., Inc.",31.98,USD
