"Quotation Report - Date : January-28, 2026 11:00 AM",,,,,,,,,,,,,
No,Number,Company,Date,Type,Client,Project Name,Description,Material,Material Code,Quo. Value,Cur.,MVL Contact,Status
9001,Q-1192-F7917A,FIRESTOP,11 Sep 2017,IQ,Mena I.a.,Firestopping Projects,Supply Of INSS2460 Fire Barrier Silicone Sealant,Firestop/ DC 315,Fire,18300,AED,Samar T.,Quotation
9002,Q-1192-F8013,FIRESTOP,11 Sep 2017,IQ,Anc C.L.,"MOCK UP For Labour Accomodation (G+3 Typ Upper Roof) Plot # 365-173 At Al Quoz Industrial 2nd, Dubai",SUPPLY OF INSS1186,Firestop/ DC 315,Fire,375,AED,Waleed B.M.,Order
9003,Q-1192-C6089,FIRESTOP,11 Sep 2017,IQ,Siac T.S.,,Supply Of MV Lapolla 2500/3,Polyurethane Foam,Chemicals,960000,AED,Karim E.,Quotation
9004,Q-1192-C6088,FIRESTOP,10 Sep 2017,IQ,Al R.I.,Dubco Project,Supply Of MV Lapolla 2500/3,Polyurethane Foam,Chemicals,82908,AED,Karim E.,Order
9005,Q-1192-F8012,FIRESTOP,10 Sep 2017,IQ,Reem C.A.,G+14 Building At Sports City,SUPPLY OF INSS2460,Firestop/ DC 315,Fire,43.25,AED,Samar T.,Quotation
9006,Q-1192-F8011,FIRESTOP,10 Sep 2017,IQ,Modern B.C.,"G+8+ Roofs (GYM) Residential Building Plot No 10-003 Nadd Hessa, Dubai Silicon Oasis Dubai (TOPAZ 1 ) LWO# 111/25",SUPPLY OF INSS1186,Firestop/ DC 315,Fire,3600,AED,Samar T.,Order
9007,Q-1192-F8010,FIRESTOP,10 Sep 2017,IQ,Ghantoot G.C.,Project In Dubai Industrial City,Supply Of INSS1440 And FP05,Firestop/ DC 315,Fire,1530,AED,Waleed B.M.,Quotation
9008,Q-1192-F8009,FIRESTOP,10 Sep 2017,IQ,Leaders F.C.,"Labour Accommodation (G+3 Typ. Upper Roof) – Plot # 365-173 At Al Quoz Industrial Second, Dubai, U.A.E. (PO/M-007/213/2017)",Supply Of INSS1440 And INFS0812,Firestop/ DC 315,Fire,540,AED,Waleed B.M.,Order
9009,Q-1192-F8008,FIRESTOP,10 Sep 2017,IQ,Bowyer W.,FIRESTOPPING PROJECT,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,144802.5,AED,Karim E.,Quotation
9010,Q-1192-F8007,FIRESTOP,07 Sep 2017,IQ,Al G.&.,Emaar Hills Development Buildings Project LPO HDBP-P-00314,Supply Of INSS2460,Firestop/ DC 315,Fire,3350,AED,Samar T.,Order
9011,Q-1192-C6087,FIRESTOP,07 Sep 2017,IQ,Al R.I.,Dubco Project,Supply Of MV Lapolla 2500/3,Polyurethane Foam,Chemicals,82908,AED,Karim E.,Order
9012,Q-1192-F8005,FIRESTOP,07 Sep 2017,IQ,Al T.A.,FIRESTOPPING PROJECT,SUPPLY OF INSS2460,Firestop/ DC 315,Fire,30,AED,Karim E.,Quotation
9013,Q-1192-C6086,FIRESTOP,06 Sep 2017,IQ,Al R.I.,Dubco Project,Supply Of MV Lapolla 2500/3,Polyurethane Foam,Chemicals,82908,AED,Raquel I.,Order
9014,Q-1192-C6085,FIRESTOP,05 Sep 2017,IQ,Gulf C.L.,SAUDI KSA PROJECT,Supply Of DC68 Spray To Protect,Polyurethane Foam,Chemicals,14200,AED,Karim E.,Quotation
9015,Q-1192-C6084,FIRESTOP,05 Sep 2017,IQ,Al R.I.,Dubco Project,Supply Of MV Lapolla 2500/3,Polyurethane Foam,Chemicals,82908,AED,Karim E.,Order
9016,Q-1192-F8004,FIRESTOP,05 Sep 2017,IQ,Baniyas A.&.,G+14 Building,Supply Of INSS0285 And INSS1186,Firestop/ DC 315,Fire,703,AED,Samar T.,Quotation
9017,Q-1192-F8003,FIRESTOP,05 Sep 2017,IQ,Sama A.a.,G+8 Building Najaf @ Iraq,Supply Of INSS2460 INSS1186 INSS0285,Firestop/ DC 315,Fire,797,AED,Samar T.,Quotation
9018,Q-1192-F8002,FIRESTOP,05 Sep 2017,IQ,Venco I.C.,VICC-160109-B+G+4+R-RESIDENTIAL BUILDING,Supply Of MEP Materials,Firestop/ DC 315,Fire,42155,AED,Waleed B.M.,Quotation
9019,Q-1192-F8001,FIRESTOP,05 Sep 2017,IQ,Central C.L.,Hotel Apt.Comm Bldg. (2B+G+M+3TYP+HC) On Plot No. 214-534 @ Al Gharhoud Job 653,Supply Of INSS1440,Firestop/ DC 315,Fire,630.75,AED,Samar T.,Order
9020,Q-1192-F8000,FIRESTOP,05 Sep 2017,IQ,Walltech A.A.,FIRESTOPPING PROJECT,Supply Of INSS2460 And INSS0285,Firestop/ DC 315,Fire,32.02,AED,Samar T.,Quotation
9021,Q-1192-F7999,FIRESTOP,05 Sep 2017,IQ,Al A.E.,P-830 Al Jadaf // P835 Al Ghuraire Ref: SS/17LPO/1171,Supply Of INSS1440 And CFS01,Firestop/ DC 315,Fire,1450,AED,Samar T.,Order
9022,RFQ-1192-F7998,FIRESTOP,05 Sep 2017,RFQ,Green F.T.,O/A No. GFM-20170905-013,O/A No. GFM-20170905-013,Firestop/ DC 315,Fire,5938,USD, ,Order
9023,Q-1192-F7997,FIRESTOP,05 Sep 2017,IQ,Bok C.L.,"PROPOSED G+1 EDUCATIONAL BUILDINGS AL QOUZ FIRST DUBAI, Plot No. 3541807",Supply Of INSS1440,Firestop/ DC 315,Fire,850,AED,Waleed B.M.,Quotation
9024,Q-1192-F7995,FIRESTOP,05 Sep 2017,IQ,Al H.C.,P140-10 2B+G+2P+18+R HOTEL BLDG ON PLOT 346-556 @ BUSINESS BAY LPO 0036149,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,5925,AED,Waleed B.M.,Order
9025,Q-1192-F7994,FIRESTOP,04 Sep 2017,IQ,Ghantoot G.C.,Project In Dubai Industrial City,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,1610.8,AED,Waleed B.M.,Order
