"Quotation Report - Date : January-28, 2026 10:58 AM",,,,,,,,,,,,,
No,Number,Company,Date,Type,Client,Project Name,Description,Material,Material Code,Quo. Value,Cur.,MVL Contact,Status
1,RFQ-5829-E6823,MACRO,27 Jan 2026,RFQ,Andrea T.S.,"ORD-5829 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, United Arab Emirates","Free Issued - Internal Ref - Invoice INV62020132-40109 &ndash; UPS Storage Charges (July&ndash;Dec 2025,",Electrical,Electrical,4095,AED,Marman I.,Waiting
2,RFQ-5532-M4108,MACRO,27 Jan 2026,RFQ,Teko G.T.,BIOT-121 N4008421D0082/N4008421R0079 AEC DB DBB MACC (Laydown Area),DG - Quotation Ref. QUOT-38149 &ndash; Electric Dryer (MAXX DR10-TT 110V),Mechanical Items,Mechanical,23436,AED,Marman I.,Order
3,Q-1005-M4096,MACRO,27 Jan 2026,IQ,Us E.A.,Supply And Delivery Of The Dehumidifier With Pump - RFQ# PR15805243,Dehumidifier With Pump.,Machine / Equipments,Mechanical,7686,AED,Shinso M.,Waiting
4,RFQ-7616-V40002,MACRO,27 Jan 2026,RFQ,Al B.A.,"BIOT-121.82 REPAIRS TO BARRICADED STORAGE MODULES (F-840, 835, 834, 839 &amp; 841) &amp; CONSTRUCT CANOPY &amp; LOUVER (F-148) (X058)",PVC Coated Rigid Metallic Pipes &amp; Fittings,Building Materials,Various,126126.98,AED,Rahul N.,Order
5,RFQ-5829-M4005,MACRO,27 Jan 2026,RFQ,Wecare M.T.,"ORD-5829 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, United Arab Emirates",AIR PAVEMENT - Quotation No. WC/SQ/12870/R/2 &ndash; Supply Of Floor Saw &amp; Blade,Machine / Equipments,Mechanical,6877.5,AED,Marman I.,Order
6,RFQ-7139-V40074,"MVL USA, INC",26 Jan 2026,RFQ,American I.S.,"ORD-7139 RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Island, U.S. Army Garrison - Kwajalein Atoll (USAG-KA), Republic Of The Marshall Islands",C900 Pipes And Fittings For Potable Water,Building Materials,Various,51639.24,USD,Vinith B.,Order
7,RFQ-7139-M4105,"MVL USA, INC",26 Jan 2026,RFQ,Ferguson E.L.,"ORD-7139 RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Island, U.S. Army Garrison - Kwajalein Atoll (USAG-KA), Republic Of The Marshall Islands",Accessories For Fire Gate Valves And Fire Hydrants,Mechanical Items,Mechanical,3101.51,USD,Shah F.,Order
8,RFQ-5532-M4107,MACRO,26 Jan 2026,RFQ,Nourth M.T.,BIOT-121 N4008421D0082/N4008421R0079 AEC DB DBB MACC (Laydown Area),"Quotation NMCO26-00000350 &ndash; Nordberg Equipment (North Mountain Trading, Jan 15, 2026) ITEM 5 15 AND 19",Mechanical Items,Mechanical,4170,AED,Marman I.,Order
9,RFQ-1569-V4433,MACRO,26 Jan 2026,RFQ,Al S.V.,MVL Group Office Related POs,"INTERNAL REF - Proforma Invoice &ndash; Al Shirawi Vending Solutions To Macro Vantage Levant DMCC (ASVS26012026, Jan 26, 2026) - FEBRUAR 2026",Misc.,Various,1517.25,AED,Marman I.,Order
10,RFQ-7139-V40073,"MVL USA, INC",26 Jan 2026,RFQ,Jay R.S.,"ORD-7139 RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Island, U.S. Army Garrison - Kwajalein Atoll (USAG-KA), Republic Of The Marshall Islands","Plumbing (Floor Drains, Floor Sink, Wall And Floor Cleanouts, Roof Drains)",Building Materials,Various,76,USD,Maricar I.,Waiting
11,RFQ-5829-M4004,MACRO,23 Jan 2026,RFQ,Wecare M.T.,"ORD-5829 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, United Arab Emirates",AIR PAVEMENT - Portable Diesel Air Compressor &ndash; Model KDP-5/7 - WC/SQ/12891,Machine / Equipments,Mechanical,44100,AED,Marman I.,Order
12,RFQ-7139-V40072,"MVL USA, INC",22 Jan 2026,RFQ,V-trust I.S.,"ORD-7139 RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Island, U.S. Army Garrison - Kwajalein Atoll (USAG-KA), Republic Of The Marshall Islands",Pre-Shipment Inspection - AM-330D Air-Cooled Screw Chiller - INV-WNW165573 - 01272026,Building Materials,Various,268,USD,Marman I.,Order
13,RFQ-6705-V4363,"MVL USA, INC",22 Jan 2026,RFQ,Copy E.,"ORD-6705 RMI-125 W9128A23C0010 FY23 MCA PN 080242 Medical Clinic, U.S. Army Garrison, Kwajalein Atoll, Republic Of The Marshall Islands (RMI)",Printing Of Plans,Misc.,Various,2442.8,USD,Shah F.,Order
14,Q-1005-V7266,MV LLC,22 Jan 2026,IQ,Ra I.S.,Supply &amp; Delivery Of Epoxy Coated Rebar-RA-Diego Garcia,Supply &amp; Delivery Of Epoxy Coated Rebar-RA-Diego Garcia,Building Materials,Various,0,USD, ,Quotation
15,RFQ-6705-V40168,"MVL USA, INC",22 Jan 2026,RFQ,Home D.U.,"ORD-6705 RMI-125 W9128A23C0010 FY23 MCA PN 080242 Medical Clinic, U.S. Army Garrison, Kwajalein Atoll, Republic Of The Marshall Islands (RMI)",Towable Concrete Mixer,Building Materials,Various,3752.65,USD,Shah F.,Order
16,RFQ-6705-E6845,"MVL USA, INC",22 Jan 2026,RFQ,Americas B.E.,"ORD-6705 RMI-125 W9128A23C0010 FY23 MCA PN 080242 Medical Clinic, U.S. Army Garrison, Kwajalein Atoll, Republic Of The Marshall Islands (RMI)",Screw Cover Pull,Electrical,Electrical,394.95,USD,Shah F.,Order
17,RFQ-7139-V4359,"MVL USA, INC",22 Jan 2026,RFQ,Safety 1.S.,"ORD-7139 RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Island, U.S. Army Garrison - Kwajalein Atoll (USAG-KA), Republic Of The Marshall Islands",Sorbent Boom,Misc.,Various,790,USD,Shah F.,Order
18,RFQ-1569-O121,MACRO,22 Jan 2026,RFQ,Al W.C.,MVL Group Office Related POs,OFFICE 1807 PRINTER -  Canon Advance C3525i - 11657,Computer Peripherals,Office Assets,5407.5,AED,Marman I.,Order
