RowNo,QuotationNumber,BaseNumber,Entity,Project,Material,Discipline,Supplier_Client,QuotedValue,Currency,Status,Type,Date,SourceTab,OriginalSource
1,Q-1192-F12093,Q-1192,FIRESTOP,PARK INN#ATCON#JVT#000004,Firestop/ DC 315,Fire Protection,Al F.F.,1639.37,USD,Order,IQ,19 Oct 2022,M&D (Materials & Disciplines),SM Workbench quotation with discipline mapping applied
2,Q-1192-F12072A,Q-1192,FIRESTOP,Abudhabi Midfield# LPO 159/2022,Firestop/ DC 315,Fire Protection,Rimal I.S.,1144.41,USD,Order,IQ,19 Oct 2022,M&D (Materials & Disciplines),SM Workbench quotation with discipline mapping applied
3,RFQ-5410-V40001,RFQ-5410,"MVL USA, INC",(KUW-135) GE5019R0095 REPLACEMENT OF EXISTING ANTI-RAM HYDRAULIC VEHICLE BARRIER AT US EMBASSY KUWAIT,Building Materials,Construction,Gibraltar P.S.,306785.0,USD,Order,RFQ,19 Oct 2022,M&D (Materials & Disciplines),SM Workbench quotation with discipline mapping applied
4,Q-1192-F12092,Q-1192,FIRESTOP,STRUCTURAL &amp; WEATHER SEALANT,Firestop/ DC 315,Fire Protection,New V.A.,98733.6,USD,Quotation,IQ,19 Oct 2022,M&D (Materials & Disciplines),SM Workbench quotation with discipline mapping applied
5,Q-1192-F12091,Q-1192,FIRESTOP,"5 STAR HOTEL AND HOTEL APARTMENTS DEVELOPMENT, RAS AL KHAIMAH",Firestop/ DC 315,Fire Protection,Fibrex L.,6.36,USD,Quotation,IQ,19 Oct 2022,M&D (Materials & Disciplines),SM Workbench quotation with discipline mapping applied
6,Q-1192-F12090,Q-1192,FIRESTOP,2B+G+11 FLOOR- OST # LPO JPM/MVL/0257/2022,Firestop/ DC 315,Fire Protection,Jpm A.T.,1645.1,USD,Order,IQ,18 Oct 2022,M&D (Materials & Disciplines),SM Workbench quotation with discipline mapping applied
7,Q-1192-F12089,Q-1192,FIRESTOP,G403-RIVIERA PHASE 2-AZIZI # LPO JPM/MVL/0253/2022,Firestop/ DC 315,Fire Protection,Jpm A.T.,751.02,USD,Order,IQ,18 Oct 2022,M&D (Materials & Disciplines),SM Workbench quotation with discipline mapping applied
8,Q-1192-F12088,Q-1192,FIRESTOP,"FATTAN,LA VIE,JUMEIRAH # LPO 023- REV 02",Firestop/ DC 315,Fire Protection,001 C.,1888.28,USD,Order,IQ,18 Oct 2022,M&D (Materials & Disciplines),SM Workbench quotation with discipline mapping applied
9,Q-1192-F12087,Q-1192,FIRESTOP,FIRESTOPPING PROJECT,Firestop/ DC 315,Fire Protection,Alec E.&.,2189.95,USD,Quotation,IQ,18 Oct 2022,M&D (Materials & Disciplines),SM Workbench quotation with discipline mapping applied
10,RFQ-1569-R1503,RFQ-1569,MACRO,MVL Group Office Related POs,Rental,Mechanical,New S.O.,4840.87,USD,Order,RFQ,18 Oct 2022,M&D (Materials & Disciplines),SM Workbench quotation with discipline mapping applied
11,RFQ-1569-V4266,RFQ-1569,MACRO,MVL Group Office Related PO,Building Materials,Construction,Al K.C.,2949.73,USD,Order,RFQ,18 Oct 2022,M&D (Materials & Disciplines),SM Workbench quotation with discipline mapping applied
12,Q-1192-F12086,Q-1192,FIRESTOP,FIRESTOPPING PROJECT,Firestop/ DC 315,Fire Protection,Venture I.T.,572.21,USD,Quotation,IQ,17 Oct 2022,M&D (Materials & Disciplines),SM Workbench quotation with discipline mapping applied
13,Q-4814-V4360,Q-4814,MACRO,MASS &amp; Co. SOV 6 Plus Admin Fee,Misc.,General,Ancd -.A.,11482.56,USD,Order,IQ,17 Oct 2022,M&D (Materials & Disciplines),SM Workbench quotation with discipline mapping applied
