RowNo,PONumber,PODate,POName,Supplier,Entity,EntityCode,Project,Material,OriginalValue,Currency,ValueUSD,POSpendUSD,POType,Year,Month,YearMonth,UsedInTab
1,RFPO-5829-M4004-1,23 Jan 2026,PO for AIR PAVEMENT - Portable Diesel Air Compressor – Model KDP-5/7 - WC/SQ/12891,WECARE MACHINERY TRADING – Sole Proprietorship LLC,MACRO,M4004,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,42000.0,AED,11436.6,11436.6,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
2,RFPO-1569-O121-1,23 Jan 2026,PO for OFFICE 1807 PRINTER -  Canon advance C3525i - 11657,Al Waseem Computer Devices Tr LLC SP,MACRO,O121,OFFICE 1803 FURNITURES,Misc.,5150.0,AED,1402.35,1402.35,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
3,RFPO-5532-M4050-2,22 Jan 2026,PO for Material Request MR-108 MR - Vehicle -Great Wall Pick-up - AG25AQ426A,"FASTWIN GROUP CO.,LIMITED",MVL USA JV LLC,M4050,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,1247.28,USD,1247.28,1247.28,Change Order,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
4,RFPO-7139-V4359-1,22 Jan 2026,PO for Sorbent Boom,Safety 1st Systems Inc,"MVL USA, INC",V4359,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,790.0,USD,790.0,790.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
5,RFPO-6705-E6845-1,22 Jan 2026,PO for Screw Cover Pull,Americas Best Electricmart Inc,MACRO,E6845,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,394.95,USD,394.95,394.95,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
6,RFPO-6705-V40168-1,22 Jan 2026,PO for Towable Concrete Mixer ,HOME DEPOT USA,MACRO,V40168,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,3752.65,USD,3752.65,3752.65,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
7,RFPO-6705-V4363-1,22 Jan 2026,PO for Printing of Plans,COPY EXPRESS,MACRO,V4363,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,2442.8,USD,2442.8,2442.8,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
8,RFPO-6705-E6844-1,21 Jan 2026,PO for Warning Light,Flight Light Inc,MACRO,E6844,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,588.81,USD,588.81,588.81,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
9,RFPO-7616-V40001-1,21 Jan 2026,PO for Electrical Materials,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MVL USA JV LLC,V40001,"ORD-7616 BIOT-121-N8421B REPAIRS TO BARRICADED STORAGE MODULES (F-589, 835, 834, 839 &amp; 841) &amp; CONSTRUCT CANOPY &amp; LOUVER (F-148)",Machine / Equipments,35434.15,USD,35434.15,35434.15,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
10,RFPO-5829-V40043-1,21 Jan 2026,"PO for AIR PAVEMENT - Pavement frame Design,  fabrication and supply Ref- QT/mvl/0012/r2",Technofab Steel Fabrication & Welding LLC,MACRO,V40043,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,42500.0,AED,11572.75,11572.75,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
11,RFPO-5532-V4379-1,21 Jan 2026,PO for HDPE PORTABLE TOILET - AS PER APPROVED PROFORMA - SOEASY-S20260120,FOSHAN SOEASY MODULAR HOUSING CO LTD,MVL USA JV LLC,V4379,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,12050.0,USD,12050.0,12050.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
12,RFPO-7139-V40070-1,21 Jan 2026,PO for Tracer Wire for Water & Fire Piping Utility System,American International Supply Inc.,"MVL USA, INC",V40070,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,1449.99,USD,1449.99,1449.99,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
13,RFPO-7139-V40071-1,21 Jan 2026,PO for Steel Rebars for Sanitary Sewer Manhole,Nucor Rebar Fabrication,"MVL USA, INC",V40071,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,3044.0,USD,3044.0,3044.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
14,RFPO-7073-V40014-1,21 Jan 2026,PO for REDUCER WITH FLANGE,Crossweld Metal Trading Co.LLC,MVL USA JV LLC,V40014,"BIOT-121.68/26 N4008424F4583 - X026 REPAIRS TO CONCRETE WATER TANK F-1655, F-308 &amp; F-1505",Subcontract,6111.0,USD,6111.0,6111.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
15,RFPO-6705-V40167-1,21 Jan 2026,PO for 3/8inch & 5/8in Pipe Clamps,"Scott & From Co., Inc.",MACRO,V40167,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,31.98,USD,31.98,31.98,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
16,RFPO-7120-V40005-1,21 Jan 2026,PO for Condensate Drain Pumps,Global Services Vertiv Japan GK,"MVL USA, INC",V40005,"JPN-138 W912HV24C0009 FY24 AC Repair For Server Rooms, Building 101, Camp Zama, Japan",Building Materials,2146477.0,JPY,2146477.0,2146477.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
17,RFPO-7139-V40068-1,20 Jan 2026,PO for Bulk Bags Skid Lot,Uline,"MVL USA, INC",V40068,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,2114.89,USD,2114.89,2114.89,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
18,RFPO-6705-V40161-2,20 Jan 2026,PO for #67 Rock(Coarse Aggregate),SMITHBRIDGE GUAM,MACRO,V40161,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,92284.55,USD,92284.55,92284.55,Change Order,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
19,RFPO-7139-V40069-1,20 Jan 2026,PO for Formwork Material for Lift Station ,Dateline Exports Inc.,"MVL USA, INC",V40069,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,9513.64,USD,9513.64,9513.64,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
20,RFPO-5829-V40042-1,19 Jan 2026,PO for AIR PAVEMENT - XEL/Q5546/26/JC – Rev 1 - Supply of X-Cure RB90 (16 × 200L),X-Calibur Emirates LLC,MACRO,V40042,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,31456.0,AED,8565.47,8565.47,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
21,RFPO-5829-M4003-1,19 Jan 2026,PO for AIR FIELD PAVEMENT - WC/SQ/12774 - BULL FLOAT,WECARE MACHINERY TRADING – Sole Proprietorship LLC,MACRO,M4003,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,1360.0,AED,370.33,370.33,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
22,RFPO-1569-O117-1,15 Jan 2026,PO for Microsoft 365 G5 GCC – Annual Subscription Licenses (Pro-Rated) - CSP 1223 MVL - NCE CSP Agreement Renewal - GCC - 2026,Managed Solution LLC,MACRO,O117,OFFICE 1803 FURNITURES,Misc.,199837.439,USD,199837.44,199837.44,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
