SourceMaterial,MappedDiscipline
accessories / connection for sandwich panel,Construction
building materials,Construction
construction,Construction
doors,Construction
fit out project,Construction
paints,Construction
polyurethane foam,Construction
sandwich panel,Construction
sanitary and toilet accessories,Construction
steel coil,Construction
windows,Construction
electrical,Electrical
fire,Fire Protection
fire alarm,Fire Protection
fire fighting,Fire Protection
fire protection,Fire Protection
fire suppression,Fire Protection
firestop,Fire Protection
firestop/ dc 315,Fire Protection
chemicals,General
computer peripherals,General
general,General
misc,General
misc.,General
ppe,General
logistics,Logistics
tools,Logistics
transportation,Logistics
containers,Mechanical
machine / equipments,Mechanical
mechanical items,Mechanical
rental,Mechanical
design,Services
lsa - life support area,Services
services,Services
subcontract,Services
