Entity,SM_QuotationCount,SM_TotalValueUSD,GSA_POCount,GSA_TotalSpendUSD,GSA_BasePOs,GSA_ChangeOrders,MD_QuoteCount,MD_QuotedValue,MD_POCount,MD_OrderedValue
MVL Nepal,204,6863701.78,192,250941555.33,0,0,204,6862179.95,192,250941555.33
MACRO,2669,726929342.84,1521,84789354.96,0,0,2669,726869821.21,1521,84789354.96
"MVL USA, INC",539,47293105.72,319,21495153.83,0,0,539,47291113.38,319,21495153.83
MVL USA JV LLC,648,23828052.56,647,14059759.3,0,0,648,23830106.07,647,14059759.3
Unknown,0,0,92,8748669.76,0,0,0,0,92,8748669.76
MICRON,922,121992977.94,197,4439508.56,0,0,922,121995694.8,197,4438829.61
MVL Greece,30,4024506.79,31,3340009.27,0,0,30,4024506.79,31,3340009.27
FIRESTOP,6685,87287497.23,224,1918355.12,0,0,6685,87329646.53,224,1918355.12
MVL VENTURES,0,0,61,1677843.9,0,0,0,0,61,1677843.9
MVL-Al Othman,18,2918065.38,15,1284908.2,0,0,18,2917305.46,15,1284908.2
MVL ENERGY,0,0,61,1097586.34,0,0,0,0,61,1097586.34
MVL Italy,15,305402.89,10,934773.87,0,0,15,305420.94,10,934773.87
Yamauchi Gumi,58,1859422734.76,60,518756.0,0,0,58,1861554785.48,60,518756.0
CENTRICO,0,0,26,314572.78,0,0,0,0,26,314572.78
MW-OCS,24,696897.48,23,292203.4,0,0,24,696901.35,23,292203.4
MVL Qatar,33,696480.6,2,79097.12,0,0,33,696481.67,2,79097.12
MVL ARABIA,0,0,9,47245.36,0,0,0,0,9,47245.36
MVL SOLUTIONS,0,0,18,44758.56,0,0,0,0,18,44758.56
MVL FACILITIES,0,0,8,9625.36,0,0,0,0,8,9625.36
MVL TRADING,0,0,5,7812.29,0,0,0,0,5,7812.29
MVL PROJECTS,0,0,1,626.29,0,0,0,0,1,626.29
MV LLC,201,118812856.64,0,0,0,0,201,118807418.17,0,0
MVL Lebanon,3,811705.2,0,0,0,0,3,811705.2,0,0
DEFENSE,6,499000.0,0,0,0,0,6,499000.0,0,0
MPG JV,8,386517.33,0,0,0,0,8,386517.33,0,0
MVL Abu Dhabi,4,58784.66,0,0,0,0,4,58822.88,0,0
MVL Kuwait,4,8642.76,0,0,0,0,4,8585.64,0,0
Gov Svcs,1,313.14,0,0,0,0,1,313.35,0,0
