orderId,poCount,totalValueUSD,poNumbers,mainOrderId
1459,18,181813.49,PO-1005-C6013-1; PO-1005-C6013-2; PO-1005-C6013-3; PO-1005-C6013-4; PO-1005-C6013-5; PO-1005-C6013-6; PO-1005-C6013-7; PO-1005-C6013-8; PO-1005-C6013-9; PO-1005-C6013-10; PO-1005-C6013-11; PO-1005-C6013-12; PO-1005-C6013-13; PO-1005-C6013-14; PO-1005-C6013-16; PO-1005-C6013-17; PO-1005-C6013-18; PO-1005-C6013-19,1005
6553,5,38163.3,RFPO-5193-E6801-1; RFPO-5193-E6801-2; RFPO-5193-E6801-3; RFPO-5193-E6801-4; RFPO-5193-E6801-5,5193
5615,5,628278.82,RFPO-4814-M4105-1; RFPO-4814-M4105-2; RFPO-4814-M4105-3; RFPO-4814-M4105-4; RFPO-4814-M4105-5,4814
245,5,99415.48,PO-813-454-2; PO-813-454-3; PO-813-454-4; PO-813-454-5; PO-813-454-6,0
7423,4,1138767.0,RFPO-6705-M4101-1; RFPO-6705-M4101-2; RFPO-6705-M4101-3; RFPO-6705-M4101-4,6705
6968,4,7761.6,RFPO-1005-E7091-1; RFPO-1005-E7091-2; RFPO-1005-E7091-3; RFPO-1005-E7091-4,1005
5461,4,8059.81,RFPO-3742-V4261-1; RFPO-3742-V4261-2; RFPO-3742-V4261-3; RFPO-3742-V4261-4,3742
3988,4,19532.34,PO-1005-E7011-2; PO-1005-E7011-3; PO-1005-E7011-4; PO-1005-E7011-5,1005
3759,4,137490.0,PO-1005-E7005-1; PO-1005-E7005-2; PO-1005-E7005-3; PO-1005-E7005-4,1005
2773,4,8573.91,PO-1005-S9043-1; PO-1005-S9043-2; PO-1005-S9043-3; PO-1005-S9043-4,1005
2045,4,14502.75,PO-1094-S9089-1; PO-1094-S9089-2; PO-1094-S9089-3; PO-1094-S9089-4,1094
2012,4,1640.66,PO-1094-S9090-1; PO-1094-S9090-2; PO-1094-S9090-3; PO-1094-S9090-4,1094
1611,4,41090.0,PO-1005-V6971-1; PO-1005-V6971-2; PO-1005-V6971-3; PO-1005-V6971-4,1005
1427,4,60869.3,PO-1192-C6000-1; PO-1192-C6000-2; PO-1192-C6000-3; PO-1192-C6000-4,1192
1247,4,39419.17,PO-1005-A5306-1; PO-1005-A5306-2; PO-1005-A5306-3; PO-1005-A5306-4,1005
637,4,214316.0,SPO-814-1078-2; PO-814-1078-3; SPO-637-1078-4; SPO-637-1078-5,0
8053,3,357648.56,RFPO-7139-S9131-1; RFPO-7139-S9131-2; RFPO-7139-S9131-3,7139
8017,3,619744.52,RFPO-7139-S9127-1; RFPO-7139-S9127-2; RFPO-7139-S9127-3,7139
7070,3,814559.43,RFPO-6705-V40005-1; RFPO-6705-V40005-2; RFPO-6705-V40005-3,6705
8227,3,9776.22,RFPO-1569-O103-1; RFPO-1569-O103-2; RFPO-1569-O103-3,1569
7720,3,21378.75,RFPO-1569-V4269-1; RFPO-1569-V4269-2; RFPO-1569-V4269-3,1569
7698,3,89034.72,RFPO-1569-14069-1; RFPO-1569-14069-2; RFPO-1569-14069-3,1569
7262,3,164571.55,RFPO-5532-V40040-1; RFPO-5532-V40040-2; RFPO-5532-V40040-3,5532
7264,3,54850.5,RFPO-5532-V40041-1; RFPO-5532-V40041-2; RFPO-5532-V40041-3,5532
7216,3,265815.52,RFPO-5532-V40039-1; RFPO-5532-V40039-2; RFPO-5532-V40039-3,5532
