yearMonth,value,count
2012-09,26750.0,1
2013-01,57420.0,1
2013-03,243264.0,1
2013-04,159754.5,2
2013-05,639681.05,6
2013-06,348508.08,4
2013-08,104065.48,6
2013-09,0.0,7
2013-10,3039798.49,24
2013-11,181257.61,16
2013-12,135965.0,9
2014-01,562012.65,24
2014-02,1361073.86,24
2014-03,117561.26,5
2014-04,513857.73,26
2014-05,1369.64,1
2014-06,40079.35,2
2014-07,129591.42,6
2014-08,545757.06,23
2014-09,888148.44,23
2014-10,955114.73,17
2014-11,303916.02,13
2014-12,2435452.08,50
2015-01,117710.2,29
2015-02,60808.64,26
2015-03,1402511.79,44
2015-04,5216710.85,16
2015-05,26513619.37,23
2015-06,769030.65,28
2015-07,70173.71,11
2015-08,17169.02,9
2015-09,68202.67,8
2015-10,1341432.72,23
2015-11,503135.68,40
2015-12,187740.94,35
2016-01,175201.68,34
2016-02,100195.42,21
2016-03,63747.81,9
2016-04,126620.45,8
2016-05,67171.96,14
2016-06,64008.82,6
2016-07,1022.53,2
2016-08,72139.14,9
2016-09,83628.45,12
2016-10,265513.83,3
2016-11,32951.82,8
2016-12,233115.64,13
2017-01,35112.34,8
2017-02,45783.11,7
2017-03,1175744.73,5
2017-04,234601.36,6
2017-05,10106.73,2
2017-06,387498.25,10
2017-07,18512.93,6
2017-08,120973.94,8
2017-09,31418.23,8
2017-10,27091.58,12
2017-11,37470.32,13
2017-12,56485.67,2
2018-01,198306.85,12
2018-02,9141.15,6
2018-03,46165.11,10
2018-04,58345.13,5
2018-05,461893.71,10
2018-06,188387.13,15
2018-07,522931.12,10
2018-08,66441.01,13
2018-09,61180.16,11
2018-10,354274.67,11
2018-11,1001697.95,9
2018-12,5923.14,3
2019-01,7632.33,5
2019-02,23443.83,5
2019-03,209119.1,7
2019-04,10913.94,4
2019-05,114000.99,12
2019-06,141517.08,10
2019-07,225946.61,10
2019-08,3792984.41,12
2019-09,3624596.25,18
2019-10,1345241.41,13
2019-11,3869460.78,9
2019-12,14065387.4,14
2020-01,2370516.57,16
2020-02,13885153.33,15
2020-03,362012.82,9
2020-04,532251.81,5
2020-05,10240.63,4
2020-06,40609.98,6
2020-07,17440560.11,20
2020-08,19029646.94,23
2020-09,3705943.52,23
2020-10,8322228.79,16
2020-11,6975729.26,14
2020-12,37877334.29,21
2021-01,66542615.43,37
2021-02,30533631.31,47
2021-03,6220198.76,23
2021-04,9250133.83,24
2021-05,7247711.04,31
2021-06,1861995.45,16
2021-07,35914.16,3
2021-08,792428.18,18
2021-09,17848.16,9
2021-10,1653961.53,12
2021-11,924751.05,18
2021-12,529222.71,7
2022-01,5408.94,4
2022-02,29577.97,8
2022-03,728795.03,8
2022-04,2124377.8,7
2022-05,196453.93,6
2022-06,423050.79,7
2022-07,81175.82,1
2022-08,481958.91,9
2022-09,401353.03,10
2022-10,432143.77,12
2022-11,527068.89,10
2022-12,132694.01,13
2023-01,272098.2,17
2023-02,816556.91,29
2023-03,1778232.49,37
2023-04,1318710.25,23
2023-05,893112.4,38
2023-06,539068.34,32
2023-07,326683.5,45
2023-08,947406.7,65
2023-09,1806009.4,45
2023-10,869962.04,70
2023-11,1252200.85,42
2023-12,891029.17,38
2024-01,858972.48,45
2024-02,1941010.83,52
2024-03,403116.49,26
2024-04,828519.71,38
2024-05,1326412.99,48
2024-06,1276852.07,24
2024-07,670401.99,35
2024-08,3490639.89,48
2024-09,1328001.41,60
2024-10,2584013.47,82
2024-11,3344563.44,68
2024-12,2050380.58,38
2025-01,791665.44,62
2025-02,2082647.82,55
2025-03,1898453.69,63
2025-04,5691164.16,78
2025-05,7664327.86,82
2025-06,4401530.92,89
2025-07,1709404.98,94
2025-08,2343507.85,58
2025-09,2722084.6,76
2025-10,1594714.3,65
2025-11,4412884.28,80
2025-12,1033437.21,57
2026-01,3595843.53,72
2026-02,17094214.29,65
