Metric,Value
source_files,"['Quotation_Report_Jan-28-2026 (1).xlsx', 'Quotation_Report_Jan-28-2026 (2).xlsx', 'Quotation_Report_Jan-28-2026 (3).xlsx', 'Quotation_Report_Jan-28-2026 (4).xlsx', 'Quotation_Report_Jan-28-2026.xlsx']"
extraction_date,2026-02-09
total_records,12136
version,1.0
series_range,"{'start': 1, 'end': 12134}"
status_distribution,"{'won': 7697, 'lost': 0, 'pending': 0, 'unknown': 4439}"
currencies,"['GBP', 'JPY', 'Avg. :', 'INR', 'SAR', 'QAR', 'BHD', 'EURO', 'SGD', 'USD', 'AED', 'KD', 'NPR', 'KWD']"
improvements,"{'project_codes_extracted': 846, 'pos_linked': 3, 'clients_categorized': 12136, 'win_rates_calculated': 56, 'dates_calculated': 0}"
contact_performance,"{'Ajeesh J.': {'total_quotes': 148, 'won': 62, 'lost': 0, 'total_value': 3082416.0300000007, 'won_value': 607339.82, 'win_rate': 41.9}, 'Islam S.': {'total_quotes': 907, 'won': 467, 'lost': 0, 'total_value': 55250050.93000003, 'won_value': 6754119.82, 'win_rate': 51.5}, 'Habib B.': {'total_quotes': 885, 'won': 532, 'lost': 0, 'total_value': 31031347.95, 'won_value': 6730849.260000001, 'win_rate': 60.1}, 'Dinesh M.': {'total_quotes': 72, 'won': 31, 'lost': 0, 'total_value': 1850806.6300000001, 'won_value': 176578.02, 'win_rate': 43.1}, 'Ramshad K.': {'total_quotes': 148, 'won': 93, 'lost': 0, 'total_value': 2579688.5700000008, 'won_value': 543365.5, 'win_rate': 62.8}, 'Ajith S.': {'total_quotes': 73, 'won': 23, 'lost': 0, 'total_value': 1271666.3400000003, 'won_value': 113436.82999999999, 'win_rate': 31.5}, 'Mahesh B.': {'total_quotes': 286, 'won': 129, 'lost': 0, 'total_value': 1532404319.6300006, 'won_value': 7387433.75, 'win_rate': 45.1}, 'Marman I.': {'total_quotes': 758, 'won': 655, 'lost': 0, 'total_value': 36743322.13, 'won_value': 32786469.699999988, 'win_rate': 86.4}, 'Jerin V.': {'total_quotes': 2, 'won': 0, 'lost': 0, 'total_value': 44934.75, 'won_value': 0, 'win_rate': 0.0}, 'Arun\xa0stephen': {'total_quotes': 670, 'won': 366, 'lost': 0, 'total_value': 34554736.94999999, 'won_value': 6241541.999999997, 'win_rate': 54.6}, 'Muhammad N.': {'total_quotes': 542, 'won': 316, 'lost': 0, 'total_value': 14014317.65, 'won_value': 3566703.9200000023, 'win_rate': 58.3}, 'Raquel I.': {'total_quotes': 183, 'won': 48, 'lost': 0, 'total_value': 14607501.590000005, 'won_value': 2423817.7800000003, 'win_rate': 26.2}, 'Gilbert J.': {'total_quotes': 6, 'won': 2, 'lost': 0, 'total_value': 176305.79, 'won_value': 2212.63, 'win_rate': 33.3}, 'Avinash P.': {'total_quotes': 57, 'won': 10, 'lost': 0, 'total_value': 621233.0999999999, 'won_value': 34453.6, 'win_rate': 17.5}, 'Samar T.': {'total_quotes': 1100, 'won': 619, 'lost': 0, 'total_value': 37490336.92999998, 'won_value': 8369549.019999997, 'win_rate': 56.3}, 'Samer H.': {'total_quotes': 79, 'won': 23, 'lost': 0, 'total_value': 7380183.7700000005, 'won_value': 148757.09, 'win_rate': 29.1}, 'Hani K.': {'total_quotes': 1, 'won': 0, 'lost': 0, 'total_value': 7783.65, 'won_value': 0, 'win_rate': 0.0}, 'M.hassan': {'total_quotes': 103, 'won': 12, 'lost': 0, 'total_value': 5648658.19, 'won_value': 155605.77000000002, 'win_rate': 11.7}, 'Samjith S.': {'total_quotes': 244, 'won': 58, 'lost': 0, 'total_value': 14068202.599999994, 'won_value': 1528349.2799999998, 'win_rate': 23.8}, 'Karim E.': {'total_quotes': 307, 'won': 146, 'lost': 0, 'total_value': 47794901.98000001, 'won_value': 5630081.4, 'win_rate': 47.6}, '371,133.14(INR)': {'total_quotes': 1, 'won': 0, 'lost': 0, 'total_value': 0, 'won_value': 0, 'win_rate': 0.0}, '1,756,856.83(NPR)': {'total_quotes': 1, 'won': 0, 'lost': 0, 'total_value': 0, 'won_value': 0, 'win_rate': 0.0}, 'Maricar I.': {'total_quotes': 386, 'won': 289, 'lost': 0, 'total_value': 20680494.049999993, 'won_value': 14789537.100000001, 'win_rate': 74.9}, 'Tamraz M.': {'total_quotes': 50, 'won': 46, 'lost': 0, 'total_value': 481878.38, 'won_value': 426889.88999999996, 'win_rate': 92.0}, 'Prasad P.': {'total_quotes': 2, 'won': 2, 'lost': 0, 'total_value': 33000.0, 'won_value': 33000.0, 'win_rate': 100.0}, 'Arun S.': {'total_quotes': 1, 'won': 1, 'lost': 0, 'total_value': 409.5, 'won_value': 409.5, 'win_rate': 100.0}, 'Yaser A.': {'total_quotes': 7, 'won': 2, 'lost': 0, 'total_value': 68500.0, 'won_value': 68500.0, 'win_rate': 28.6}, 'Rusevalt S.': {'total_quotes': 2, 'won': 2, 'lost': 0, 'total_value': 2924.25, 'won_value': 2924.25, 'win_rate': 100.0}, 'Hamza M.': {'total_quotes': 24, 'won': 9, 'lost': 0, 'total_value': 135885.43, 'won_value': 49812.19, 'win_rate': 37.5}, 'Zafar A.': {'total_quotes': 1, 'won': 1, 'lost': 0, 'total_value': 5652.0, 'won_value': 5652.0, 'win_rate': 100.0}, 'Rain R.': {'total_quotes': 80, 'won': 20, 'lost': 0, 'total_value': 4753866.959999999, 'won_value': 237973.88999999998, 'win_rate': 25.0}, 'Waleed B.M.': {'total_quotes': 795, 'won': 455, 'lost': 0, 'total_value': 25580642.319999985, 'won_value': 6690301.9, 'win_rate': 57.2}, 'Jailani M.': {'total_quotes': 4, 'won': 4, 'lost': 0, 'total_value': 450004.0, 'won_value': 450004.0, 'win_rate': 100.0}, 'Venoth T.A.': {'total_quotes': 67, 'won': 16, 'lost': 0, 'total_value': 4454275.18, 'won_value': 136548.77000000002, 'win_rate': 23.9}, 'Muhammad F.K.': {'total_quotes': 31, 'won': 2, 'lost': 0, 'total_value': 1022096.5999999997, 'won_value': 1850.0, 'win_rate': 6.5}, 'Lorelie S.': {'total_quotes': 19, 'won': 0, 'lost': 0, 'total_value': 187261.8, 'won_value': 0, 'win_rate': 0.0}, 'Marty A.M.': {'total_quotes': 10, 'won': 10, 'lost': 0, 'total_value': 369941.64, 'won_value': 369941.64, 'win_rate': 100.0}, 'Abie M.': {'total_quotes': 14, 'won': 9, 'lost': 0, 'total_value': 8977213.75, 'won_value': 6770222.5, 'win_rate': 64.3}, 'Shahbas A.S.': {'total_quotes': 6, 'won': 0, 'lost': 0, 'total_value': 398514.51, 'won_value': 0, 'win_rate': 0.0}, 'Derlyn J.A.': {'total_quotes': 1, 'won': 0, 'lost': 0, 'total_value': 26288.45, 'won_value': 0, 'win_rate': 0.0}, 'Enayatullah S.': {'total_quotes': 1, 'won': 1, 'lost': 0, 'total_value': 3300.0, 'won_value': 3300.0, 'win_rate': 100.0}, 'Azim R.': {'total_quotes': 22, 'won': 2, 'lost': 0, 'total_value': 8038653.14, 'won_value': 689220.4, 'win_rate': 9.1}, 'Ferdinand R.': {'total_quotes': 2, 'won': 2, 'lost': 0, 'total_value': 41209.0, 'won_value': 41209.0, 'win_rate': 100.0}, 'Cecil R.': {'total_quotes': 8, 'won': 6, 'lost': 0, 'total_value': 16896493.72, 'won_value': 16874083.72, 'win_rate': 75.0}, 'Admin': {'total_quotes': 1, 'won': 1, 'lost': 0, 'total_value': 1400000.0, 'won_value': 1400000.0, 'win_rate': 100.0}, 'Rufino S.J.': {'total_quotes': 1, 'won': 1, 'lost': 0, 'total_value': 5756.5, 'won_value': 5756.5, 'win_rate': 100.0}, 'Hayat M.': {'total_quotes': 3, 'won': 1, 'lost': 0, 'total_value': 440307.81, 'won_value': 36327.0, 'win_rate': 33.3}, 'Waqar N.': {'total_quotes': 1, 'won': 0, 'lost': 0, 'total_value': 14758.0, 'won_value': 0, 'win_rate': 0.0}, 'Shinso M.': {'total_quotes': 248, 'won': 71, 'lost': 0, 'total_value': 36900299.43, 'won_value': 6974748.01, 'win_rate': 28.6}, 'Rahul N.': {'total_quotes': 603, 'won': 584, 'lost': 0, 'total_value': 27360377.579999994, 'won_value': 26470192.189999994, 'win_rate': 96.8}, 'Vinith B.': {'total_quotes': 171, 'won': 166, 'lost': 0, 'total_value': 4974168.579999999, 'won_value': 4967927.029999999, 'win_rate': 97.1}, 'Shah F.': {'total_quotes': 184, 'won': 179, 'lost': 0, 'total_value': 4177648.2999999993, 'won_value': 3910036.809999999, 'win_rate': 97.3}, 'Lince M.': {'total_quotes': 259, 'won': 256, 'lost': 0, 'total_value': 41461265.17999999, 'won_value': 41413141.72, 'win_rate': 98.8}, 'Darlene A.': {'total_quotes': 6, 'won': 0, 'lost': 0, 'total_value': 10181.0, 'won_value': 0, 'win_rate': 0.0}, 'Arun N.': {'total_quotes': 5, 'won': 1, 'lost': 0, 'total_value': 11962482.0, 'won_value': 1445528.0, 'win_rate': 20.0}, 'Faseela': {'total_quotes': 1, 'won': 1, 'lost': 0, 'total_value': 1323.0, 'won_value': 1323.0, 'win_rate': 100.0}}"
last_improved,2026-02-09
