orderId,mainOrderId,poCount,totalValueUSD,poNumbers
8053,7139,3,357648.56,RFPO-7139-S9131-1; RFPO-7139-S9131-2; RFPO-7139-S9131-3
8017,7139,3,619744.52,RFPO-7139-S9127-1; RFPO-7139-S9127-2; RFPO-7139-S9127-3
8492,7139,2,10050.72,RFPO-7139-V40086-1; RFPO-7139-V40086-2
8304,5532,2,2619.16,RFPO-5532-M4050-1; RFPO-5532-M4050-2
8329,6705,2,184338.95,RFPO-6705-V40161-1; RFPO-6705-V40161-2
8371,6705,2,1017.29,RFPO-6705-A5202-1; RFPO-6705-A5202-2
8361,5829,2,38665.76,RFPO-5829-R1512-1; RFPO-5829-R1512-2
8359,7139,2,68088.3,RFPO-7139-V40064-1; RFPO-7139-V40064-2
7070,6705,3,814559.43,RFPO-6705-V40005-1; RFPO-6705-V40005-2; RFPO-6705-V40005-3
8321,6705,2,3345.9,RFPO-6705-V4362-1; RFPO-6705-V4362-2
8008,7139,2,67346.21,RFPO-7139-V40036-1; RFPO-7139-V40036-2
8306,6705,2,1414.62,RFPO-6705-V40159-1; RFPO-6705-V40159-2
8223,7616,2,244648.0,RFPO-7616-M4001-1; RFPO-7616-M4001-2
8193,5829,2,29952.34,RFPO-5829-S9105-1; RFPO-5829-S9105-2
8277,5532,2,1559.0,RFPO-5532-M4048-1; RFPO-5532-M4048-2
8274,5532,2,3188.35,RFPO-5532-M4106-1; RFPO-5532-M4106-2
7794,7039,2,3597445.26,RFPO-7039-E6802B-1; RFPO-7039-E6802B-2
8212,6705,2,466418.0,RFPO-6705-V40149-1; RFPO-6705-V40149-2
8027,5503,2,42560.0,RFPO-5503-A5205-1; RFPO-5503-A5205-2
8211,6705,2,6146.41,RFPO-6705-E6836A-1; RFPO-6705-E6836A-2
8227,1569,3,9776.22,RFPO-1569-O103-1; RFPO-1569-O103-2; RFPO-1569-O103-3
7713,6705,2,5857.24,RFPO-6705-V40070-1; RFPO-6705-V40070-2
7569,6705,2,245712.32,RFPO-6705-E6804-1; RFPO-6705-E6804-2
8126,6705,2,4897.11,RFPO-6705-V40136-1; RFPO-6705-V40136-2
8161,6705,2,102167.46,RFPO-6705-M4026-1; RFPO-6705-M4026-2
8063,7139,2,9819.98,RFPO-7139-V40040-1; RFPO-7139-V40040-2
8037,7139,2,213400.0,RFPO-7139-S9130-1; RFPO-7139-S9130-2
7674,6705,2,15689.84,RFPO-6705-V40061-1; RFPO-6705-V40061-2
7812,6705,2,37736.42,RFPO-6705-V40086-1; RFPO-6705-V40086-2
7920,6718,2,136866.91,RFPO-6718-V40029-1; RFPO-6718-V40029-2
7921,6718,2,28499.15,RFPO-6718-V40030-1; RFPO-6718-V40030-2
7586,6718,2,9725.1,RFPO-6718-V40019-1; RFPO-6718-V40019-2
7720,1569,3,21378.75,RFPO-1569-V4269-1; RFPO-1569-V4269-2; RFPO-1569-V4269-3
7698,1569,3,89034.72,RFPO-1569-14069-1; RFPO-1569-14069-2; RFPO-1569-14069-3
7649,7139,2,22088.59,RFPO-7139-V40010A-1; RFPO-7139-V40010A-2
7423,6705,4,1138767.0,RFPO-6705-M4101-1; RFPO-6705-M4101-2; RFPO-6705-M4101-3; RFPO-6705-M4101-4
7873,7039,2,7549.0,RFPO-7039-M4101-1; RFPO-7039-M4101-2
7493,6705,2,71427.15,RFPO-6705-V40028-1; RFPO-6705-V40028-2
7928,5532,2,42190.1,RFPO-5532-T1003-1; RFPO-5532-T1003-2
7787,7098,2,283139.14,RFPO-7098-E6802-1; RFPO-7098-E6802-2
7961,7139,2,133438.4,RFPO-7139-V40031-1; RFPO-7139-V40031-3
7875,6705,2,46850.0,RFPO-6705-M4104-1; RFPO-6705-M4104-2
7946,7139,2,11200.0,RFPO-7139-E6811-1; RFPO-7139-E6811-2
7772,6705,2,149811.32,RFPO-6705-V40079-1; RFPO-6705-V40079-2
7889,7039,2,2980.0,RFPO-7039-V40020-1; RFPO-7039-V40020-2
7871,6705,2,2439.89,RFPO-6705-E6814-1; RFPO-6705-E6814-2
7860,6705,2,3647.0,RFPO-6705-M4018-1; RFPO-6705-M4018-2
7728,6705,2,45275.38,RFPO-6705-V40071-1; RFPO-6705-V40071-2
7830,7139,2,134742.78,RFPO-7139-E6805-1; RFPO-7139-E6805-2
