QuotationNumber,QuotationType,Status,ProjectName,Description,Material,MaterialCodeRaw,materialCode,Entity,Client,QuotationValue,Currency,Contact,Date,mainOrderId,orderId,isRevision,revisionLetter,baseNumber,id
RFQ-1192-V4323,RFQ,Order,MVL Firestop Bldg Material Trdg LLC,SLAB WITHOUT FACING (SXXX) Densitiy: 64Kg M3 Thickness: 50mm  Size: 1.2 Mtr By .6 Mtr,Building Materials,Various,Various,FIRESTOP,Fujairah R.F.,5197.5,AED,(Blank),11 Nov 2022,1192,10993,False,,RFQ-1192-V4323,1
RFQ-5213-V40009,RFQ,Order,(KSA 127) W912ER21C0015 AL KHARJ WAREHOUSE,Shelving And Racking System,Building Materials,Various,Various,MACRO,Arcoma S.&.,632500.0,SAR,(Blank),09 Nov 2022,5213,10986,False,,RFQ-5213-V40009,2
RFQ-1569-O30,RFQ,Order,MVL Group Office Related POs,Desktop And 2 Monitors For New Employee HR,Computer Peripherals,Office Assets,Office Assets,MACRO,Al K.C.,3255.0,AED,(Blank),09 Nov 2022,1569,10975,False,,RFQ-1569-O30,3
RFQ-1569-V4396,RFQ,Order,MVL Group Office Related POs,ORYX ROLLER BLINDS - MANUAL - MVL OFFICE 1808,Misc.,Various,Various,MACRO,Bafco T.L.,1949.89,AED,(Blank),27 Oct 2022,1569,10944,False,,RFQ-1569-V4396,4
RFQ-1192-V4447,RFQ,Order,MVL FIrestop Bldg Material TRDG LLC,Supply And Delivery Of TONER FOR SHARP MX3550V (MX61FT),Misc.,Various,Various,FIRESTOP,Printek S.,3906.0,AED,(Blank),26 Oct 2022,1192,10937,False,,RFQ-1192-V4447,5
RFQ-5153-V4351,RFQ,Order,"ITA-121 N6247021C0003 P-759 Family Housing New Construction Villaggio  And Camp Ederle North Vicenza, Italy",RICOH MPC 3004 W/ Annual Maintainance Contract,Misc.,Various,Various,MVL Italy,Gamma S.,5148.4,EURO,(Blank),26 Oct 2022,5153,10936,False,,RFQ-5153-V4351,6
RFQ-1569-V4395,RFQ,Order,MVL Group Office Realted POs,DESK WORKSTATION FOR OFFICE 1802,Misc.,Various,Various,MACRO,Bafco T.L.,4297.12,AED,(Blank),25 Oct 2022,1569,10932,False,,RFQ-1569-V4395,7
RFQ-5410-V40001,RFQ,Order,(KUW-135) GE5019R0095 REPLACEMENT OF EXISTING ANTI-RAM HYDRAULIC VEHICLE BARRIER AT US EMBASSY KUWAIT,VEHICLE BARRIER,Building Materials,Various,Various,"MVL USA, INC",Gibraltar P.S.,306785.0,USD,(Blank),19 Oct 2022,5410,10918,False,,RFQ-5410-V40001,8
RFQ-1569-R1503,RFQ,Order,MVL Group Office Related POs,RENT TO OWN (Model &ndash; SHARP MX-3051 &ndash; 30PPM &ndash; High Quality ) 1 YEAR WITH SERVICE,Rental,Rental,Rental,MACRO,New S.O.,17766.0,AED,(Blank),18 Oct 2022,1569,10911,False,,RFQ-1569-R1503,9
RFQ-1569-V4266,RFQ,Order,MVL Group Office Related PO,"DESKTOP, LAPTOP, AND MONITORS FOR HO OFFICE",Building Materials,Various,Various,MACRO,Al K.C.,10825.5,AED,(Blank),18 Oct 2022,1569,10910,False,,RFQ-1569-V4266,10
