year,baseValue,changeValue,totalValue,poCount,supplierCount
2012,26750.0,0,26750.0,1,1
2013,4810298.73,99415.48,4909714.21,76,40
2014,7851320.97,2613.27,7853934.24,214,92
2015,22287077.25,13981169.0,36268246.25,292,112
2016,951141.26,334176.3,1285317.56,139,63
2017,2160009.86,20789.33,2180799.19,87,44
2018,2869583.75,105103.38,2974687.13,115,62
2019,27299490.63,130753.5,27430244.13,119,75
2020,110435098.74,117129.31,110552228.06,172,100
2021,121534812.77,4075598.84,125610411.6,245,140
2022,5112139.96,451918.93,5564058.89,95,62
2023,10612253.78,1098816.48,11711070.26,481,224
2024,16550932.85,3551952.51,20102885.36,564,236
2025,31091876.27,5253946.83,36345823.1,859,268
2026,8227350.22,12462707.6,20690057.82,137,85
