name,quotedValue,orderedValue,poCount,quoteCount
MACRO,165505593.9,175908296.83,1934,1969
"MVL USA, INC",44822074.02,3721142.71,29,558
MVL USA JV LLC,24424567.39,17758709.7,523,665
MVL Nepal,6793118.5,103554314.23,140,199
FIRESTOP,6777576.04,67963496.44,341,331
MVL Greece,3746130.44,4171997.2,43,27
MVL-Al Othman,2918065.38,0,0,18
MVL BUILDERS JV LLC,656103.0,0,0,2
Yamauchi Gumi,654676.74,327797.68,6,58
MW-OCS,628397.48,3760226.21,19,17
MV LLC,627893.12,0,0,7
MICRON,528254.58,5960305.67,217,27
MPG JV,386517.33,0,0,6
MVL Italy,305917.53,1.0,3,16
MVL Qatar,294133.57,0,0,14
DEFENSE,9000.0,0,0,1
MVL Kuwait,8642.76,0,0,4
MVL Abu Dhabi,2688.0,0,0,1
Gov Svcs,313.14,0,0,1
Unknown,0,8352140.55,91,0
MVL TRADING,0,166519.97,20,0
MVL SOLUTIONS,0,648893.17,36,0
MVL VENTURES,0,19808255.63,94,0
MVL ENERGY,0,1035868.42,57,0
CENTRICO,0,314565.94,26,0
MVL FACILITIES,0,9625.16,8,0
MVL ARABIA,0,43445.0,8,0
MVL PROJECTS,0,626.28,1,0
