yearMonth,quotedValue,orderedValue,quoteCount,poCount
2012-09,0,26750.0,0,1
2013-01,0,57420.0,0,1
2013-03,0,243264.0,0,1
2013-04,0,159754.5,0,2
2013-05,0,639681.05,0,6
2013-06,0,348508.08,0,4
2013-08,0,104065.48,0,6
2013-09,199482.46,0.0,10,7
2013-10,317996.98,3039798.49,23,24
2013-11,84745.87,181257.61,15,16
2013-12,128594.39,135965.0,9,9
2014-01,829791.03,562012.65,31,24
2014-02,277790.51,1361073.86,31,24
2014-03,206212.0,117561.26,27,5
2014-04,813437.55,513857.73,41,26
2014-05,46367.31,1369.64,7,1
2014-06,13404.36,40079.35,3,2
2014-07,424961.59,129591.42,33,6
2014-08,573705.21,545757.06,35,23
2014-09,1401832.39,888148.44,47,23
2014-10,1040998.05,955114.73,41,17
2014-11,8704621.42,303916.02,44,13
2014-12,389509.85,2435452.08,54,50
2015-01,556584.8,117710.2,33,29
2015-02,337937.43,60808.64,33,26
2015-03,322617.41,1402511.79,29,44
2015-04,32516414.9,5216710.85,32,16
2015-05,59266904.91,26513619.37,28,23
2015-06,990451.52,769030.65,13,28
2015-07,427553.34,70173.71,6,11
2015-08,573846.8,17169.02,8,9
2015-09,6265309.63,68202.67,17,8
2015-10,597639.78,1341432.72,24,23
2015-11,843723.1,503135.68,45,40
2015-12,203693.01,187740.94,41,35
2016-01,264466.7,175201.68,43,34
2016-02,33959.2,100195.42,20,21
2016-03,319375.88,63747.81,10,9
2016-04,81731.93,126620.45,4,8
2016-05,285948.98,67171.96,10,14
2016-06,50920.88,64008.82,9,6
2016-07,47822.53,1022.53,3,2
2016-08,391.0,72139.14,2,9
2016-09,-241725.1,83628.45,3,12
2016-10,1195636.15,265513.83,6,3
2016-11,62806.34,32951.82,4,8
2016-12,545223.32,233115.64,13,13
2017-01,176973.32,35112.34,13,8
2017-02,46198.1,45783.11,8,7
2017-03,1099752.87,1175744.73,11,5
2017-04,159114.7,234601.36,5,6
2017-05,9890.11,10106.73,1,2
2017-06,1086605.48,387498.25,14,10
2017-07,215322.36,18512.93,7,6
2017-08,111434.15,120973.94,7,8
2017-09,69372.37,31418.23,8,8
2017-10,110109.99,27091.58,9,12
2017-11,142041.35,37470.32,15,13
2017-12,124107.14,56485.67,4,2
2018-01,160120.5,198306.85,7,12
2018-02,200179.08,9141.15,10,6
2018-03,324836.75,46165.11,13,10
2018-04,88539.59,58345.13,5,5
2018-05,886245.04,461893.71,18,10
2018-06,845781.44,188387.13,20,15
2018-07,482283.08,522931.12,13,10
2018-08,65555.76,66441.01,9,13
2018-09,3633624.33,61180.16,15,11
2018-10,643371.44,354274.67,12,11
2018-11,3191566.51,1001697.95,18,9
2018-12,-322864.87,5923.14,9,3
2019-01,11621.85,7632.33,6,5
2019-02,714900.11,23443.83,11,5
2019-03,8309341.37,209119.1,8,7
2019-04,125975.19,10913.94,9,4
2019-05,105292.04,114000.99,11,12
2019-06,86150.94,141517.08,6,10
2019-07,3013069.31,225946.61,16,10
2019-08,136192.14,3792984.41,14,12
2019-09,210779.13,3624596.25,15,18
2019-10,5933369.46,1345241.41,21,13
2019-11,291175.13,3869460.78,11,9
2019-12,4138294.39,14065387.4,16,14
2020-01,17851242.04,2370516.57,14,16
2020-02,337389.52,13885153.33,17,15
2020-03,416402.98,362012.82,9,9
2020-04,608763.08,532251.81,8,5
2020-05,275265.47,10240.63,5,4
2020-06,2144.18,40609.98,1,6
2020-07,768730.98,17440560.11,15,20
2020-08,1038038.76,19029646.94,23,23
2020-09,558116.83,3705943.52,28,23
2020-10,1000690.09,8322228.79,23,16
2020-11,164832.78,6975729.26,15,14
2020-12,291936.41,37877334.29,18,21
2021-01,715604.8,66542615.43,38,37
2021-02,801406.31,30533631.31,44,47
2021-03,550444.24,6220198.76,21,23
2021-04,541454.08,9250133.83,28,24
2021-05,258426.32,7247711.04,25,31
2021-06,129469.8,1861995.45,14,16
2021-07,55695.82,35914.16,5,3
2021-08,94515.65,792428.18,14,18
2021-09,84179.33,17848.16,12,9
2021-10,50395.19,1653961.53,8,12
2021-11,1728850.03,924751.05,13,18
2021-12,19717.65,529222.71,6,7
2022-01,153073.45,5408.94,5,4
2022-02,140035.51,29577.97,8,8
2022-03,727193.28,728795.03,11,8
2022-04,22266.27,2124377.8,8,7
2022-05,307513.03,196453.93,9,6
2022-06,62298.2,423050.79,6,7
2022-07,68.62,81175.82,1,1
2022-08,600798.97,481958.91,11,9
2022-09,535285.75,401353.03,12,10
2022-10,637015.21,432143.77,10,12
2022-11,506903.76,527068.89,6,10
2022-12,217910.43,132694.01,13,13
2023-01,290918.87,272098.2,16,17
2023-02,1121517.99,816556.91,23,29
2023-03,1092502.89,1778232.49,34,37
2023-04,1517794.07,1318710.25,23,23
2023-05,989719.94,893112.4,37,38
2023-06,642041.8,539068.34,31,32
2023-07,635697.77,326683.5,49,45
2023-08,2132356.3,947406.7,77,65
2023-09,852053.8,1806009.4,33,45
2023-10,1090813.31,869962.04,80,70
2023-11,1361839.7,1252200.85,39,42
2023-12,1162181.3,891029.17,43,38
2024-01,1463502.06,858972.48,56,45
2024-02,1156843.81,1941010.83,48,52
2024-03,725042.26,403116.49,31,26
2024-04,491672.07,828519.71,38,38
2024-05,1234536.56,1326412.99,47,48
2024-06,1297800.61,1276852.07,26,24
2024-07,616776.74,670401.99,37,35
2024-08,2310402.63,3490639.89,48,48
2024-09,2005845.45,1328001.41,71,60
2024-10,2773102.82,2584013.47,80,82
2024-11,3203711.79,3344563.44,72,68
2024-12,1577038.2,2050380.58,37,38
2025-01,1563804.91,791665.44,68,62
2025-02,2147370.27,2082647.82,63,55
2025-03,1504949.08,1898453.69,69,63
2025-04,6333279.04,5691164.16,88,78
2025-05,6482690.08,7664327.86,91,82
2025-06,4703074.75,4401530.92,95,89
2025-07,1867067.72,1709404.98,91,94
2025-08,1973880.47,2343507.85,57,58
2025-09,2252016.21,2722084.6,78,76
2025-10,1325654.29,1594714.3,64,65
2025-11,2610946.87,4412884.28,87,80
2025-12,935417.86,1033437.21,60,57
2026-01,1631061.88,3595843.53,81,72
2026-02,2129654.87,17094214.29,67,65
