poNumber,poDate,poName,supplier,originalValue,currency,valueUSD,poSpendUSD,tax,taxUSD,netTotal,netTotalUSD,mainOrderId,orderId,entityCode,entity,material,materialCode,poVersion,isChangeOrder,poType,changeOrderGroup,changeOrderTotal,year,month,yearMonth,project
RFPO-8133-M4000-1,26 Feb 2026,PO for Quotation Ref. 020926-001 – MR-X-065 Temporary Water Heater Supply,INTEGRATED CONTRACTING SUPPLIERS,34031.0,USD,34031.0,34031.0,0.0,0,34031.0,34031.0,8133,RFPO-8133-M4000,M4000,FIRESTOP,Machine / Equipments,Mechanical,1,False,Base PO,1,1,2026,2,2026-02,"ORD-8133 BIOT-121.112 N4008425F0390 Replace HVAC System, UPH-9 NSFDG  X088"
RFPO-7139-V40081-2,26 Feb 2026,PO for Select Granular Fill,SMITHBRIDGE GUAM,90142.95,USD,90142.95,90142.95,0.0,0,90142.95,90142.95,7139,RFPO-7139-V40081,V40081,MACRO,Building Materials,Various,2,True,Change Order,2,2,2026,2,2026-02,"ORD-7139 RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Island, U.S. Army Garrison - Kwajalein Atoll (USAG-KA), Republic Of The Marshall Islands"
RFPO-7139-E6830-1,26 Feb 2026,PO for LSA-Electrical Items,CPS ELECTRIC,13627.259999999997,USD,13627.259999999997,13627.259999999997,0.0,0,13627.259999999997,13627.259999999997,7139,RFPO-7139-E6830,E6830,MACRO,Electrical,Electrical,1,False,Base PO,1,1,2026,2,2026-02,"ORD-7139 RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Island, U.S. Army Garrison - Kwajalein Atoll (USAG-KA), Republic Of The Marshall Islands"
RFPO-7139-E6829-1,26 Feb 2026,PO for LSA-Electrical Materials,Americas Best Electricmart Inc,7660.539999999999,USD,7660.539999999999,7660.539999999999,0.0,0,7660.539999999999,7660.539999999999,7139,RFPO-7139-E6829,E6829,MACRO,Electrical,Electrical,1,False,Base PO,1,1,2026,2,2026-02,"ORD-7139 RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Island, U.S. Army Garrison - Kwajalein Atoll (USAG-KA), Republic Of The Marshall Islands"
RFPO-7208-V40030-1,26 Feb 2026,PO for C girt,Dateline Exports Inc.,5500.0,USD,5500.0,5500.0,0.0,0,5500.0,5500.0,7208,RFPO-7208-V40030,V40030,MVL USA JV LLC,Building Materials,Various,1,False,Base PO,1,1,2026,2,2026-02,"ORD-7208 BIOT-121.76 N4008424F4725 REPAIRS TO CHRIMP FACILITY 724 (QS60400) &amp; FACILITY 725 (QS6041), NSFDG (X029)"
RFPO-7139-E6831-2,26 Feb 2026,PO for Bare Copper Grounding Cable,EMSI Inc.,10830.4,USD,10830.4,10830.4,0.0,0,10830.4,10830.4,7139,RFPO-7139-E6831,E6831,MACRO,Electrical,Electrical,2,True,Change Order,2,2,2026,2,2026-02,"ORD-7139 RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Island, U.S. Army Garrison - Kwajalein Atoll (USAG-KA), Republic Of The Marshall Islands"
RFPO-6705-A5351-1,26 Feb 2026,PO for Portable Toilet,FOSHAN SOEASY MODULAR HOUSING CO LTD,5800.0,USD,5800.0,5800.0,0.0,0,5800.0,5800.0,6705,RFPO-6705-A5351,A5351,MACRO,Sanitary and Toilet Accessories,Architectural,1,False,Base PO,1,1,2026,2,2026-02,"ORD-6705 RMI-125 W9128A23C0010 FY23 MCA PN 080242 Medical Clinic, U.S. Army Garrison, Kwajalein Atoll, Republic Of The Marshall Islands (RMI)"
RFPO-7864-S9100-1,26 Feb 2026,PO for Third Party Inspection - Aluminum Windows,TUV SUD MIDDLE EAST LLC,1200.0,AED,326.75,326.75,60.0,16.34,1260.0,343.09,7864,RFPO-7864-S9100,S9100,MACRO,Services,Services,1,False,Base PO,1,1,2026,2,2026-02,ORD-7864 BIOT-121.93 REPAIR OF WINDOWS AND FLOORING AT F-1565 AND F-115 (Task - X060)
RFPO-6718-V40031-2,26 Feb 2026,PO for Primer (Part B),The Sherwin-Williams Company,4490.0199999999995,USD,4490.0199999999995,4490.0199999999995,0.0,0,4490.0199999999995,4490.0199999999995,6718,RFPO-6718-V40031,V40031,MVL USA JV LLC,Building Materials,Various,2,True,Change Order,2,2,2026,2,2026-02,"BIOT-121.48 N4008424F4064 EPROJECT 1718005 QC2011 REPLACE ADRF PUMPS 7, 8, AND 9, F-409 (X048)"
RFPO-7139-E6831-1,25 Feb 2026,PO for Bare Copper Grounding Cable,EMSI Inc.,15961.4,USD,15961.4,15961.4,0.0,0,15961.4,15961.4,7139,RFPO-7139-E6831,E6831,MACRO,Electrical,Electrical,1,False,Base PO,2,2,2026,2,2026-02,"ORD-7139 RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Island, U.S. Army Garrison - Kwajalein Atoll (USAG-KA), Republic Of The Marshall Islands"
