name,valueUSD,poCount,baseValue,changeValue
MACRO,207563363.61,1968,172304429.92,35258933.69
MVL Nepal,103554314.23,140,103547279.04,7035.19
FIRESTOP,67979505.0,344,67854117.43,125387.57
Unknown,44115868.98,197,43910118.72,205750.26
MVL VENTURES,19811542.78,97,19605924.81,205617.97
MVL USA JV LLC,17846382.64,524,15813323.55,2033059.09
MICRON,6030402.86,218,5148561.33,881841.53
MVL Greece,4199239.48,44,3668724.26,530515.22
MW-OCS,3762870.71,20,3761582.36,1288.35
"MVL USA, INC",3721142.71,29,2256957.58,1464185.14
MVL ENERGY,1036757.3,57,808383.0,228374.3
MVL SOLUTIONS,650407.13,37,642155.48,8251.65
Yamauchi Gumi,327797.68,6,327797.68,0
CENTRICO,261105.53,25,141621.53,119484.0
MVL TRADING,166519.97,20,165270.14,1249.83
MVL ARABIA,43445.0,8,9993.83,33451.17
MVL FACILITIES,9625.16,8,9625.16,0
MVL PROJECTS,626.28,1,626.28,0
MVL Italy,1.0,3,1.0,0
