name,valueUSD,poCount
Building Materials,312350182.16,1776
Mechanical Items,31417985.46,227
Electrical,26961644.79,383
Various,8900314.25,164
Misc.,8079196.26,349
Machine / Equipments,6370626.84,132
Subcontract,5777321.26,86
Paints,2795811.03,32
Computer Peripherals,2729798.55,145
Doors,2427553.1,75
Chemicals,2161039.92,29
Design,1250656.47,23
Rental,1235158.1,40
Polyurethane Foam,942829.14,19
Services,474456.43,38
Tools,238649.92,29
Firestop/ DC 315,80964.85,26
Construction,54644.55,21
Transportation,50524.17,9
Sanitary and Toilet Accessories,20005.18,9
Mechanical,8588.75,2
LSA - Life Support Area,8375.0,2
PPE,2596.59,4
