year,baseValue,changeValue,totalValue,poCount,supplierCount
2012,72350.0,97386.9,169736.9,4,2
2013,4898639.87,99415.48,4998055.35,78,41
2014,8542492.3,2468.27,8544960.57,230,95
2015,67663901.05,13271758.0,80935659.05,332,121
2016,1110562.77,292926.7,1403489.47,163,69
2017,2191092.78,6072.52,2197165.3,93,47
2018,3333992.33,105103.38,3439095.71,124,68
2019,27315089.23,130753.5,27445842.73,123,78
2020,130963666.34,117514.56,131081180.91,186,105
2021,121742350.89,4075598.84,125817949.72,252,142
2022,5117023.16,452097.54,5569120.7,99,65
2023,10955306.78,1098816.48,12054123.26,487,225
2024,16670222.45,3632400.62,20302623.07,565,237
2025,31103952.41,5255995.53,36359947.94,861,268
2026,8295850.75,12466116.64,20761967.39,149,90
