yearMonth,value,count
2012-09,26750.0,1
2012-10,142986.9,3
2013-01,57420.0,1
2013-03,243264.0,1
2013-04,159754.5,2
2013-05,639681.05,6
2013-06,348508.08,4
2013-08,185589.28,7
2013-09,0.0,7
2013-10,3041252.35,25
2013-11,181257.61,16
2013-12,141328.48,9
2014-01,716486.57,25
2014-02,1376364.92,26
2014-03,190464.77,9
2014-04,744575.94,28
2014-05,1369.64,1
2014-06,40079.35,2
2014-07,129591.42,6
2014-08,588697.06,25
2014-09,1050942.25,26
2014-10,965435.88,18
2014-11,303916.02,13
2014-12,2437036.74,51
2015-01,118271.31,29
2015-02,150691.62,27
2015-03,1487926.55,52
2015-04,49380088.13,24
2015-05,26513653.89,23
2015-06,831825.82,33
2015-07,104493.71,12
2015-08,18707.48,10
2015-09,92831.79,10
2015-10,1398739.57,27
2015-11,503135.68,40
2015-12,335293.49,45
2016-01,240796.69,45
2016-02,145577.55,22
2016-03,66328.62,12
2016-04,126914.53,9
2016-05,69850.85,17
2016-06,64958.19,9
2016-07,1022.53,2
2016-08,72139.14,9
2016-09,83628.45,12
2016-10,265513.83,3
2016-11,32951.82,8
2016-12,233807.26,15
2017-01,35112.34,8
2017-02,45783.11,7
2017-03,1175744.73,5
2017-04,237408.72,8
2017-05,19859.48,3
2017-06,387498.25,10
2017-07,18512.93,6
2017-08,121248.67,9
2017-09,34949.5,10
2017-10,27091.58,12
2017-11,37470.32,13
2017-12,56485.67,2
2018-01,203968.83,14
2018-02,223311.32,8
2018-03,47823.96,11
2018-04,58734.51,6
2018-05,461893.71,10
2018-06,188387.13,15
2018-07,523012.37,11
2018-08,308887.96,15
2018-09,61180.16,11
2018-10,354274.67,11
2018-11,1001697.95,9
2018-12,5923.14,3
2019-01,7632.33,5
2019-02,23443.83,5
2019-03,209119.1,7
2019-04,10913.94,4
2019-05,116248.96,12
2019-06,141517.08,10
2019-07,226450.24,10
2019-08,3792984.41,12
2019-09,3624597.25,19
2019-10,1358086.41,15
2019-11,3869460.77,9
2019-12,14065388.4,15
2020-01,2382212.22,17
2020-02,25006655.32,19
2020-03,362012.82,9
2020-04,532251.81,5
2020-05,10240.63,4
2020-06,41849.88,8
2020-07,17440560.11,20
2020-08,19033662.94,24
2020-09,3706027.1,24
2020-10,8322228.79,16
2020-11,7070397.26,18
2020-12,47173082.03,22
2021-01,66673464.75,40
2021-02,30603123.54,48
2021-03,6220198.76,23
2021-04,9250133.83,24
2021-05,7247711.04,31
2021-06,1861995.45,16
2021-07,35914.16,3
2021-08,792428.18,18
2021-09,17848.16,9
2021-10,1653961.53,12
2021-11,924751.05,18
2021-12,536419.27,10
2022-01,6221.53,6
2022-02,29577.97,8
2022-03,728795.03,8
2022-04,2124477.8,8
2022-05,196453.93,6
2022-06,423050.79,7
2022-07,81175.82,1
2022-08,481958.91,9
2022-09,405054.56,11
2022-10,432591.46,12
2022-11,527068.89,10
2022-12,132694.01,13
2023-01,303043.53,18
2023-02,925216.51,31
2023-03,1778232.49,37
2023-04,1381539.67,23
2023-05,930913.57,40
2023-06,539068.34,32
2023-07,326683.5,45
2023-08,951146.7,65
2023-09,1828360.77,46
2023-10,897214.21,70
2023-11,1301674.79,42
2023-12,891029.17,38
2024-01,876994.92,45
2024-02,1997920.89,52
2024-03,403116.49,26
2024-04,834743.99,38
2024-05,1326412.99,49
2024-06,1291960.85,24
2024-07,670401.99,35
2024-08,3547067.22,48
2024-09,1328056.19,60
2024-10,2584013.47,82
2024-11,3391305.0,68
2024-12,2050629.06,38
2025-01,791665.44,62
2025-02,2082647.82,55
2025-03,1898453.69,63
2025-04,5722220.41,80
2025-05,7639538.04,82
2025-06,4401590.49,89
2025-07,1710733.51,94
2025-08,2345393.01,58
2025-09,2723810.69,76
2025-10,1595524.66,65
2025-11,4414932.98,80
2025-12,1033437.21,57
2026-01,3595843.53,72
2026-02,17166123.86,77
