number,type,status,entity,client,projectName,description,material,materialCode,quotedValue,taxUSD,netTotalUSD,currency,contact,date,mainOrderId,orderId
RFQ-5327-V40000,RFQ,Order,MACRO,Mohamed A.A.,"KUW-129.16 JO 0012 W912ER21F0160 CH-47 Weather Shelter A Camp Buering Kuwait &amp; KUW-129.17 W912ER21F0161 W912ER21R2004, CH-47 Weather Shelter B, Camp Buehring, Kuwait",Packaged Air Conditioning Unit (RTU-1),Building Materials,Various,95872.6,0.0,95872.6,USD,(Blank),25 Nov 2022,5327,
RFQ-4814-A5203,RFQ,Order,MACRO,Lakshmi M.T.,(QTR 193) - W912ER21C0005 - USACE TRANS REGIONAL LOGISTICS COMPLEX (TRLC),Aluminum Windows,Doors,Architectural,226427.06,11321.35,237748.42,USD,(Blank),21 Nov 2022,4814,
RFQ-1192-V4323,RFQ,Order,FIRESTOP,Fujairah R.F.,MVL Firestop Bldg Material Trdg LLC,SLAB WITHOUT FACING (SXXX) Densitiy: 64Kg M3 Thickness: 50mm  Size: 1.2 Mtr By .6 Mtr,Building Materials,Various,1347.86,67.39,1415.25,USD,(Blank),11 Nov 2022,1192,
RFQ-5213-V40009,RFQ,Order,MACRO,Arcoma S.&.,(KSA 127) W912ER21C0015 AL KHARJ WAREHOUSE,Shelving And Racking System,Building Materials,Various,146666.67,22000.0,168666.67,USD,(Blank),09 Nov 2022,5213,
RFQ-1569-O30,RFQ,Order,MACRO,Al K.C.,MVL Group Office Related POs,Desktop And 2 Monitors For New Employee HR,Computer Peripherals,Office Assets,844.11,42.21,886.32,USD,(Blank),09 Nov 2022,1569,
RFQ-1569-V4396,RFQ,Order,MACRO,Bafco T.L.,MVL Group Office Related POs,ORYX ROLLER BLINDS - MANUAL - MVL OFFICE 1808,Misc.,Various,505.66,25.28,530.94,USD,(Blank),27 Oct 2022,1569,
RFQ-1192-V4447,RFQ,Order,FIRESTOP,Printek S.,MVL FIrestop Bldg Material TRDG LLC,Supply And Delivery Of TONER FOR SHARP MX3550V (MX61FT),Misc.,Various,1012.93,50.65,1063.58,USD,(Blank),26 Oct 2022,1192,
RFQ-5153-V4351,RFQ,Order,MVL Italy,Gamma S.,"ITA-121 N6247021C0003 P-759 Family Housing New Construction Villaggio  And Camp Ederle North Vicenza, Italy",RICOH MPC 3004 W/ Annual Maintainance Contract,Misc.,Various,5596.09,0.0,5596.09,USD,(Blank),26 Oct 2022,5153,
RFQ-1569-V4395,RFQ,Order,MACRO,Bafco T.L.,MVL Group Office Realted POs,DESK WORKSTATION FOR OFFICE 1802,Misc.,Various,1114.36,55.72,1170.08,USD,(Blank),25 Oct 2022,1569,
RFQ-5410-V40001,RFQ,Order,"MVL USA, INC",Gibraltar P.S.,(KUW-135) GE5019R0095 REPLACEMENT OF EXISTING ANTI-RAM HYDRAULIC VEHICLE BARRIER AT US EMBASSY KUWAIT,VEHICLE BARRIER,Building Materials,Various,306785.0,0,306785.0,USD,(Blank),19 Oct 2022,5410,
RFQ-1569-R1503,RFQ,Order,MACRO,New S.O.,MVL Group Office Related POs,RENT TO OWN (Model &ndash; SHARP MX-3051 &ndash; 30PPM &ndash; High Quality ) 1 YEAR WITH SERVICE,Rental,Rental,4607.22,230.36,4837.58,USD,(Blank),18 Oct 2022,1569,
RFQ-1569-V4266,RFQ,Order,MACRO,Al K.C.,MVL Group Office Related PO,"DESKTOP, LAPTOP, AND MONITORS FOR HO OFFICE",Building Materials,Various,2807.35,140.37,2947.72,USD,(Blank),18 Oct 2022,1569,
RFQ-5410-V40000,RFQ,Quotation,MACRO,Gibraltar P.S.,(KUW-135) GE5019R0095 REPLACEMENT OF EXISTING ANTI-RAM HYDRAULIC VEHICLE BARRIER AT US EMBASSY KUWAIT,VEHICLE BARRIER,Building Materials,Various,306785.0,0,306785.0,USD,(Blank),14 Oct 2022,5410,
RFQ-1192-V4322,RFQ,Order,FIRESTOP,Fujairah R.F.,MVL Firestop,SLAB WITHOUT FACING SXXX Density 160Kg M3 Thickness 50mm Size1.2 Mtr X .6 Mtr. 360 SQM,Building Materials,Various,3416.2,170.81,3587.01,USD,(Blank),10 Oct 2022,1192,
RFQ-3742-V4265,RFQ,Order,MACRO,Cummins A.K.,W912ER-19-C-0018 Care And Preservation Vehicle Maintenance Facility,Cummins Generator Service,Building Materials,Various,4159.9,0.0,4159.9,USD,(Blank),05 Oct 2022,3742,
RFQ-5213-V40004,RFQ,Order,MACRO,Gcc D.L.,(KSA 127) W912ER21C0015 AL KHARJ WAREHOUSE,Weep Vent And Mortar Vent,Building Materials,Various,9495.0,0,9495.0,USD,(Blank),29 Sep 2022,5213,
RFQ-5503-O1,RFQ,Order,MVL Greece,Public B.,GRE-121 N6247022C0002 Communications Center - Souda Bay,Supply And Delivery Of Laptop HP 15S-FQ2008NV (Intel Core I7-1165G7/16GB/1TB SSD/,Computer Peripherals,Office Assets,2768.41,0.0,2768.41,USD,Marman I.,28 Sep 2022,5503,
RFQ-1192-F12046,RFQ,Order,FIRESTOP,International C.T.,MVL Firestop,Order No. INCA-20220927-10,Firestop/ DC 315,Fire,39145.0,0,39145.0,USD,(Blank),28 Sep 2022,1192,
RFQ-1569-O29,RFQ,Order,MACRO,Dnv B.A.,"MVL MICHIGAN (US), MVL (UAE), MVL (LEBANON)",CMMC LEVEL 3 SELF- ASSESSMENT SERVICE,Computer Peripherals,Office Assets,17426.82,871.34,18298.16,USD,(Blank),28 Sep 2022,1569,
RFQ-4814-V40002,RFQ,Order,MACRO,Maxim H.R.,(QTR 193) - W912ER21C0005 - USACE TRANS REGIONAL LOGISTICS COMPLEX (TRLC),Missile Impact Skylight Panel,Building Materials,Various,68973.66,0,68973.66,USD,(Blank),22 Sep 2022,4814,
RFQ-5503-V4351,RFQ,Order,MVL Greece,Zacharakis G.,GRE-121 N6247022C0002 Communications Center - Souda Bay,Supply And Installation Of PHOTOCOPY MACHINE KONICA MINOLTA C250 PHOTOCOPY MACHINE 250i  And 1 Set Of Toners,Misc.,Various,4393.91,0.0,4393.91,USD,Marman I.,21 Sep 2022,5503,
RFQ-1192-V4445,RFQ,Order,FIRESTOP,Grand S.C.,MVL Firestop,STATIONARIES SUPPLIES - FIRESTOP,Misc.,Various,551.26,27.56,578.82,USD,Marman I.,20 Sep 2022,1192,
RFQ-5213-V40003,RFQ,Order,MACRO,M. S.A.,(KSA 127) W912ER21C0015 AL KHARJ WAREHOUSE,Translucent Wall Panels (KALWALL),Building Materials,Various,36800.0,5520.0,42320.0,USD,(Blank),19 Sep 2022,5213,
RFQ-4814-A5202,RFQ,Order,MACRO,Vulcan I.L.,(QTR 193) - W912ER21C0005 - USACE TRANS REGIONAL LOGISTICS COMPLEX (TRLC),"WOODEN DOORS, FRAMES AND DOOR HARDWARES",Doors,Architectural,122724.3,6136.22,128860.52,USD,(Blank),15 Sep 2022,4814,
RFQ-4814-S9094,RFQ,Quotation,MACRO,Ancd -.A.,(QTR 193) - W912ER21C0005 - USACE TRANS REGIONAL LOGISTICS COMPLEX (TRLC),LIGHTING POLES,Subcontract,Services,9791.21,0.0,9791.21,USD,(Blank),13 Sep 2022,4814,
RFQ-1569-S9003,RFQ,Order,MACRO,Isra M.E.,MVL REAL STATE,(AL WASL PLOT) REMOVAL OF SIGNBOARDS AND DELIVERY OF REMOVED REUSABLE MATERIALS TO DIP WAREHOUSE,Design,Services,435.67,21.78,457.45,USD,(Blank),12 Sep 2022,1569,
RFQ-5213-S9089,RFQ,Order,MACRO,Staines I.G.,(KSA 127) W912ER21C0015 AL KHARJ WAREHOUSE,CLADDING MATERIAL (ROOF AND WALL PANEL),Subcontract,Services,210776.59,0,210776.59,USD,(Blank),06 Sep 2022,5213,
RFQ-5783-S9071,RFQ,Quotation,"MVL USA, INC",Blk C.&.,"KUW-129.49 W5J9JE22F0021 Tent Building TT5000, Zone 5, Camp Arifjan, Kuwait",COMPLETE JO SOW,Subcontract,Services,216800.0,0,216800.0,USD,(Blank),31 Aug 2022,5783,
RFQ-1192-F11983,RFQ,Order,FIRESTOP,International C.T.,MVL Firestop - Stocks,Order No. INCA-20220822-09,Firestop/ DC 315,Fire,2000.0,0,2000.0,USD,(Blank),22 Aug 2022,1192,
RFQ-5213-V4352,RFQ,Order,MACRO,Reda S.,(KSA 127) W912ER21C0015 AL KHARJ WAREHOUSE,"36 Unit First Aid Kit With BBP And CPR, Metal Case First Aid Onl - AL KHARJ",Misc.,Various,320.0,48.0,368.0,USD,(Blank),15 Aug 2022,5213,
RFQ-5213-V4351,RFQ,Order,MACRO,White B.,(KSA 127) W912ER21C0015 AL KHARJ WAREHOUSE,KSA 127 (AL KHARJ) Clinic Room Equipment - WHITEBOX SUPPLIER,Misc.,Various,778.93,0.0,778.93,USD,(Blank),15 Aug 2022,5213,
RFQ-1192-V4444,RFQ,Order,FIRESTOP,Bestway H.E.,MVL FIRESTOP - WAREHOUSE,RECTIFY STACKER MACHINE HYDRAULLIC LIFT CONTROL SYSTEM,Misc.,Various,178.35,8.92,187.27,USD,(Blank),11 Aug 2022,1192,
RFQ-1192-F11957,RFQ,Order,FIRESTOP,International C.T.,MVL FIRESTOP - Order No. INCA-20220809-08,Order No. INCA-20220809-08,Firestop/ DC 315,Fire,21780.0,0,21780.0,USD,(Blank),09 Aug 2022,1192,
RFQ-1192-V4321,RFQ,Order,FIRESTOP,Fujairah R.F.,MVL FIRESTOP,SLAB WITHOUT FACING (SXXX) 160 Kg And 120 Kg,Building Materials,Various,5803.13,290.16,6093.29,USD,(Blank),08 Aug 2022,1192,
RFQ-1192-V4320,RFQ,Order,FIRESTOP,Al M.C.,MVL FIRESTOP MATERIAL REPLENISHMENT,SUPPLY OF MAKING SAMPLE BOARDS 6MM THICK WITH HANDLE - 40 X 60 CM,Building Materials,Various,326.75,16.34,343.09,USD,(Blank),08 Aug 2022,1192,
RFQ-5213-V40002,RFQ,Order,MACRO,Unitech (.K.,KSA-127 W912ER21C0015  Al Kharj Warehouse,UNITECH FILLER BOARDS,Building Materials,Various,689.0,103.35,792.35,USD,(Blank),03 Aug 2022,5213,
RFQ-5327-S9073,RFQ,Order,MACRO,Dalal S.I.,"KUW-129.16 JO 0012 W912ER21F0160 CH-47 Weather Shelter A Camp Buering Kuwait And KUW-129.17 W912ER21F0161 W912ER21R2004, CH-47 Weather Shelter B, Camp Buehring, Kuwait",Cladding Material On Behalf Of MEDCO Kuwait (JOC) 5327 &amp; 5328,Subcontract,Services,295200.0,0,295200.0,USD,(Blank),01 Aug 2022,5327,
RFQ-4814-M4106,RFQ,Order,MACRO,Jubaili B.,(QTR 193) - W912ER21C0005 - USACE TRANS REGIONAL LOGISTICS COMPLEX (TRLC),BACKUP GENERATOR WITH INTEGRAL FUEL TANK,Mechanical Items,Mechanical,56456.04,0.0,56456.04,USD,(Blank),01 Aug 2022,4814,
RFQ-1192-V4443,RFQ,Order,FIRESTOP,Smile C.,MVL FIRESTOP - MISC,BUSINESS CARDS - AJEESH AND  AJITH (TECHNICAL ENGINEERS),Misc.,Various,65.35,3.27,68.62,USD,(Blank),20 Jul 2022,1192,
RFQ-1192-F11879,RFQ,Order,FIRESTOP,International C.T.,MVL FIRESTOP,Order No. INCA-20220630-07,Firestop/ DC 315,Fire,3075.0,0,3075.0,USD,(Blank),30 Jun 2022,1192,
RFQ-1569-V4265,RFQ,Order,MACRO,Quality P.C.,MVL OFFICE,INSECTICIDAL AND RESIDUAL SPRAY/GEL TREATMENT (ONE TIME SERVICE),Building Materials,Various,95.3,4.77,100.07,USD,(Blank),22 Jun 2022,1569,
RFQ-1192-F11829,RFQ,Order,FIRESTOP,International C.T.,MVL Firestop,Order No. INCA-20220610-06,Firestop/ DC 315,Fire,43658.0,0,43658.0,USD,(Blank),10 Jun 2022,1192,
RFQ-5213-V40001,RFQ,Order,MACRO,Jabal C.C.,(KSA 127) W912ER21C0015 AL KHARJ WAREHOUSE,Labor Toilets And Prayer Room Site Facilities,Building Materials,Various,12386.67,1858.0,14244.67,USD,(Blank),09 Jun 2022,5213,
RFQ-4814-V4200,RFQ,Order,MVL Qatar,Qatar T.A.,(QTR 193) - W912ER21C0005 - USACE TRANS REGIONAL LOGISTICS COMPLEX (TRLC),FLATBED  TRAILER WITH DRIVER,Containers,Various,219.78,0.0,219.78,USD,(Blank),02 Jun 2022,4814,
RFQ-1569-O28,RFQ,Order,MACRO,Anigma T.,MVL OFFICE IT REQUIREMENT,HIGH PERFORMANCE DESKTOP AS PER SPECIFICATIONS,Computer Peripherals,Office Assets,953.03,47.65,1000.68,USD,(Blank),02 Jun 2022,1569,
RFQ-3742-V4264C,RFQ,Order,MACRO,British L.K.,W912ER-19-C-0018 Care And Preservation Vehicle Maintenance Facility,RENTAL OF MANLIFT WITH FUEL,Building Materials,Various,1787.46,0.0,1787.46,USD,(Blank),31 May 2022,3742,
RFQ-1569-V4394,RFQ,Order,MACRO,Smart S.T.,ERGONOMIC CHAIR,ERGONOMIC CHAIR,Misc.,Various,334.01,16.7,350.71,USD,(Blank),25 May 2022,1569,
RFQ-4814-A5201,RFQ,Order,MACRO,Techtradedoors T.L.,QTR 193 - W912ER21C0005 - USACE AEC TRANS REGIONAL LOGISTICS COMPLEX (TLC),VERTICAL LIFT DOORS,Doors,Architectural,98819.23,0.0,98819.23,USD,(Blank),24 May 2022,4814,
RFQ-5342-M4101,RFQ,Order,MACRO,Industrial E.P.,"W912ER21F0112 To Construct Electrical Ring And Radial Circuit (Ring 3), Camp Arifjan, Kuwait.",RING MAIN UNIT,Mechanical Items,Mechanical,65849.85,0.0,65849.85,USD,(Blank),20 May 2022,5342,
RFQ-1192-V4316A,RFQ,Order,FIRESTOP,Fujairah R.F.,MVL Firestop,SLAB WITHOUT FACING (SXXX) Density: 160Kg/M3 Thickness: 50mm Size:1.2 MtrX 0.6 Mtr,Building Materials,Various,3332.88,166.64,3499.52,USD,(Blank),18 May 2022,1192,
RFQ-1192-F11775,RFQ,Order,FIRESTOP,International F.T.,DC360 (5G PAIL),DC360 (5G PAIL),Firestop/ DC 315,Fire,160.0,0,160.0,USD,(Blank),13 May 2022,1192,
RFQ-3742-V4264B,RFQ,Order,MACRO,British L.K.,W912ER-19-C-0018 Care And Preservation Vehicle Maintenance Facility,RENTAL OF MANLIFT WITH FUEL,Building Materials,Various,2112.45,0.0,2112.45,USD,(Blank),11 May 2022,3742,
RFQ-4814-M4105,RFQ,Order,MACRO,Align E.W.,QTR 193 - W912ER21C0005 - USACE AEC TRANS REGIONAL LOGISTICS COMPLEX (TLC),FIRE WATER STORAGE TANKS,Mechanical Items,Mechanical,122260.04,6113.0,128373.04,USD,(Blank),09 May 2022,4814,
RFQ-3742-R1501A,RFQ,Order,MACRO,Amjad G.G.,W912ER-19-C-0018 Care And Preservation Vehicle Maintenance Facility,RENTAL OF FORKLIFT,Rental,Rental,6560.77,0.0,6560.77,USD,(Blank),09 May 2022,3742,
RFQ-1192-V4440,RFQ,Order,FIRESTOP,Printek S.,MVL FIRESTOP,SHARP TONER FOR Sharp MX3550V (SHARP MX61FT ),Misc.,Various,503.74,25.19,528.93,USD,(Blank),28 Apr 2022,1192,
RFQ-1192-F11738,RFQ,Quotation,FIRESTOP,International F.T.,MVL Firestop,"NON HAZARDOUS - Water Based Fireproof Paint, DC360, Sample, 1 Gallon Per Pail, Toatl 2 Pails",Firestop/ DC 315,Fire,360.0,0,360.0,USD,(Blank),22 Apr 2022,1192,
RFQ-3550-V4384,RFQ,Order,MVL Nepal,S.tech E.&.,"72036719F00003 - Nepal Community Reconstruction Program (NRCP) IDIQ Contract, Task Order For The Reconstruction Of Schools And Health Facilities In Sindhuli District Of Nepal",TENCATE GEOGRID 200/50,Building Materials,Various,7922.7,0.0,7922.7,USD,(Blank),20 Apr 2022,3550,
RFQ-3742-V4264A,RFQ,Order,MACRO,British L.K.,W912ER-19-C-0018 Care And Preservation Vehicle Maintenance Facility,RENTAL OF MANLIFT WITH FUEL,Building Materials,Various,1462.46,0.0,1462.46,USD,(Blank),18 Apr 2022,3742,
RFQ-1192-V4319,RFQ,Order,FIRESTOP,Fujairah R.F.,MVL FIRESTOP,Slab Without Facing SXXX Density 64kg M3 Thickness 50mm Size 1.2 MtrX.6 Mtr 360 M2.,Building Materials,Various,1347.86,67.39,1415.25,USD,(Blank),18 Apr 2022,1192,
RFQ-3734-S9113,RFQ,Order,MACRO,Sbk O.S.,(QTR-173) W912ER-19-C-0016 CONSOLIDATED SQUADRON OPERATIONS FACILITY,CSOF - Electrical Manpower For 3/4 Days,Subcontract,Services,1153.85,0.0,1153.85,USD,(Blank),14 Apr 2022,3734,
RFQ-5416-S9073,RFQ,Quotation,"MVL USA, INC",(glv) G.L.,KUW-129.32 W912ER21F0177 CAB HQ,Panel Board Modification To CAB HQ,Subcontract,Services,4873.19,0,4873.19,USD,(Blank),11 Apr 2022,5416,
RFQ-3742-R1501,RFQ,Order,MACRO,Amjad G.G.,W912ER-19-C-0018 Care And Preservation Vehicle Maintenance Facility,RENTAL OF FORKLIFT,Rental,Rental,4549.89,0.0,4549.89,USD,(Blank),11 Apr 2022,3742,
RFQ-3742-V4264,RFQ,Order,MACRO,British L.K.,W912ER-19-C-0018 Care And Preservation Vehicle Maintenance Facility,"RENTAL OF MANLIFT WITH FUEL (APRIL 2, 2022  APRIL 16, 2022)",Building Materials,Various,1462.46,0.0,1462.46,USD,(Blank),31 Mar 2022,3742,
RFQ-4814-V40001,RFQ,Order,MACRO,Al T.T.,QTR 193 - W912ER20R0029 - USACE AEC TRANS REGIONAL LOGISTICS COMPLEX (TLC),BACK FILLING MATERIALS,Building Materials,Various,101648.35,0.0,101648.35,USD,(Blank),23 Mar 2022,4814,
RFQ-5416-S9072,RFQ,Quotation,"MVL USA, INC",(glv) G.L.,KUW-129.32 W912ER21F0177 CAB HQ,"Change ATS To MTS, Delete Generator Installation",Subcontract,Services,-12552.28,0,-12552.28,USD,(Blank),22 Mar 2022,5416,
RFQ-5213-V40000,RFQ,Order,MACRO,Naffco K.,KSA-127 W912ER21C0015  Al Kharj Warehouse,FLOW TEST FOR FIRE HYDRANT SYSTEM,Building Materials,Various,3066.67,0.0,3066.67,USD,(Blank),21 Mar 2022,5213,
RFQ-3742-V4263,RFQ,Order,MACRO,British L.K.,W912ER-19-C-0018 Care And Preservation Vehicle Maintenance Facility,RENTAL OF MANLIFT WITH FUEL,Building Materials,Various,1917.45,0.0,1917.45,USD,(Blank),14 Mar 2022,3742,
RFQ-4814-S9088,RFQ,Order,MACRO,Staines I.G.,QTR 193 - W912ER20R0029 - USACE AEC TRANS REGIONAL LOGISTICS COMPLEX (TLC),CLADDING MATERIALS,Subcontract,Services,592158.0,0,592158.0,USD,(Blank),14 Mar 2022,4814,
RFQ-1192-F11681,RFQ,Quotation,FIRESTOP,International F.T.,MVL Firestop,DC360 - 1G Pail,Firestop/ DC 315,Fire,424.0,0,424.0,USD,(Blank),10 Mar 2022,1192,
RFQ-1192-F11679,RFQ,Order,FIRESTOP,International C.T.,MVL Firestop - Stocks Replenishment,Order No. INCA-20220309-05,Firestop/ DC 315,Fire,20644.0,0,20644.0,USD,(Blank),09 Mar 2022,1192,
RFQ-1192-F11676,RFQ,Order,FIRESTOP,Wimpey L.(.,MVL FIRESTOP - TESTING,TESTING OF INSS2460 (USEPA-600/R-93/116 AND  ASTM C518),Firestop/ DC 315,Fire,313.14,15.66,328.8,USD,(Blank),09 Mar 2022,1192,
RFQ-4814-V40000,RFQ,Order,MACRO,Engineering S.C.,QTR 193 - W912ER20R0029 - USACE AEC TRANS REGIONAL LOGISTICS COMPLEX (TLC),UPS SYSTEM,Building Materials,Various,17429.95,0.0,17429.95,USD,(Blank),03 Mar 2022,4814,
RFQ-5270-O1,RFQ,Order,MACRO,Accent O.S.,BAH-122-N3319120R4008 Bahrain Mini-Multiple Award Construction Contract (MACC),Brother MFC-T4500DW Inkjet MFP A3 And INK SET,Computer Peripherals,Office Assets,634.17,31.71,665.88,USD,(Blank),02 Mar 2022,5270,
RFQ-1569-O27,RFQ,Order,MACRO,Burhani C.T.,MVL Office - IT,ESET Endpoint Protection  Advanced Renewal For A Year,Computer Peripherals,Office Assets,988.43,49.42,1037.85,USD,(Blank),23 Feb 2022,1569,
RFQ-1192-F11638,RFQ,Order,FIRESTOP,International C.T.,MVL FIRESTOP,Order No. INCA-20220223-04 - INSS2460 Fire Barrier Silicone Sealant (BLACK),Firestop/ DC 315,Fire,109500.0,0,109500.0,USD,(Blank),23 Feb 2022,1192,
RFQ-1569-O26,RFQ,Order,MACRO,Burhani C.T.,MVL OFFICE - IT,MICROSOFT AZURE SUBSCRIPTION (PAY AS YOU GO),Computer Peripherals,Office Assets,990.06,49.5,1039.56,USD,(Blank),22 Feb 2022,1569,
RFQ-1192-F11628,RFQ,Order,FIRESTOP,Wimpey L.(.,MVL FIRESTOP,"TESTING FOR ESTIDAMA_NWS2000, SGS6000",Firestop/ DC 315,Fire,626.28,31.31,657.59,USD,(Blank),21 Feb 2022,1192,
RFQ-1192-F11626,RFQ,Order,FIRESTOP,International C.T.,MVL Firestop,INSS2460 Fire Barrier Silicone Sealant (BLACK) Packed: 20Fl.Oz/Pc; 20Pcs/Box,Firestop/ DC 315,Fire,21024.0,0,21024.0,USD,(Blank),17 Feb 2022,1192,
RFQ-1192-V4318,RFQ,Order,FIRESTOP,Fujairah R.F.,MVL Firestop,Slab Without Facing SXXX Density 64kg M3 Thickness 50mm Size 1.2 MtrX.6 Mtr 360 M2,Building Materials,Various,1276.3,63.81,1340.11,USD,(Blank),16 Feb 2022,1192,
