poNumber,poDate,poName,supplier,entity,project,material,materialCode,value,currency,year,month,mainOrderId,orderId,poType
RFPO-7139-E6831-1,25 Feb 2026,PO for Bare Copper Grounding Cable,EMSI Inc.,MACRO,PO for Bare Copper Grounding Cable,Electrical,Electrical,15961.4,USD,2026,2,7139,RFPO-7139-E6831,Base PO
RFPO-1569-V4271-1,25 Feb 2026,PO for CH 183B  - MEETING ROOM CHAIRS 1804-1805,BLUE CROWN FURNITURE (LLC),FIRESTOP,PO for CH 183B  - MEETING ROOM CHAIRS 1804-1805,Various,Various,544.59,USD,2026,2,1569,RFPO-1569-V4271,Base PO
RFPO-7139-S9000-1,24 Feb 2026,PO for SHOP DRAWING FOR ACOUSTIC WALL PANEL,Dateline Exports Inc.,MACRO,PO for SHOP DRAWING FOR ACOUSTIC WALL PANEL,Services,Services,3000.0,USD,2026,2,7139,RFPO-7139-S9000,Base PO
RFPO-7139-M4107-1,24 Feb 2026,PO 4' Swing Check Valve for lift station,Professional Pump,MW-OCS,PO 4' Swing Check Valve for lift station,Mechanical,Mechanical,2644.5,USD,2026,2,7139,RFPO-7139-M4107,Base PO
RFPO-6705-V40174-1,24 Feb 2026,PO for SUPERTIES FOR DI/DB BOX,Dateline Exports Inc.,Unknown,PO for SUPERTIES FOR DI/DB BOX,Various,Various,5519.37,USD,2026,2,6705,RFPO-6705-V40174,Base PO
RFPO-5532-M4062-1,24 Feb 2026,PO for Miller Welding Machines & Accessories - Ref. AHG_ITW_1_037R02_260126_BigBlue-400 and BigBlue-450_MVL,Abdullah Hashim Industrial Gases & Equipment Co. Ltd.,Unknown,PO for Miller Welding Machines & Accessories - Ref. AHG_ITW_1_037R02_260126_BigBlue-400 and BigBlue-450_MVL,Mechanical,Mechanical,80655.68,USD,2026,2,5532,RFPO-5532-M4062,Base PO
RFPO-7878-M4102-1,24 Feb 2026,PO for Calibrated Balancing Valves,Morex Inc.,MACRO,PO for Calibrated Balancing Valves,Mechanical,Mechanical,8615.71,USD,2026,2,7878,RFPO-7878-M4102,Base PO
RFPO-7932-V40005-1,24 Feb 2026,PO for Duct Insulation,KEPCO Building Materials Trading LLC,MVL Greece,PO for Duct Insulation,Various,Various,9610.1,USD,2026,2,7932,RFPO-7932-V40005,Base PO
RFPO-7932-V40006-1,24 Feb 2026,PO for Electrical Materials,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MACRO,PO for Electrical Materials,Various,Various,9770.85,USD,2026,2,7932,RFPO-7932-V40006,Base PO
RFPO-6705-V40173-2,23 Feb 2026,PO for Medical Clinic - Grass Trimmer,Dateline Exports Inc.,Unknown,PO for Medical Clinic - Grass Trimmer,Various,Various,1704.52,USD,2026,2,6705,RFPO-6705-V40173,Change Order
RFPO-7139-V40082-2,23 Feb 2026,PO for ATCT-Grass Trimmer,Dateline Exports Inc.,MACRO,PO for ATCT-Grass Trimmer,Various,Various,1704.52,USD,2026,2,7139,RFPO-7139-V40082,Change Order
RFPO-1569-V4435-1,20 Feb 2026,PO for Consumable/Service items for the SHARP MX‑3051 Printer 1801,NEW SMART OFFICE AUTOMATION LLC,FIRESTOP,PO for Consumable/Service items for the SHARP MX‑3051 Printer 1801,Various,Various,555.48,USD,2026,2,1569,RFPO-1569-V4435,Base PO
RFPO-1569-15311-1,20 Feb 2026,PO for 1806 - Rectification works for fire‑protection systems - EFQ46286 (20/02/2026),EUROFIRE FIRE & SAFETY L.L.C,Unknown,PO for 1806 - Rectification works for fire‑protection systems - EFQ46286 (20/02/2026),Various,Various,2136.15,USD,2026,2,1569,RFPO-1569-15311,Base PO
RFPO-7616-A5201-1,19 Feb 2026,PO FOR OVERHEAD COILING DOORS,TECHTRADE SAL(OFFSHORE),MACRO,PO FOR OVERHEAD COILING DOORS,Architectural,Architectural,63742.4,USD,2026,2,7616,RFPO-7616-A5201,Base PO
RFPO-6705-V4364-1,19 Feb 2026,PO for Bicycles with Accessories,"Priority Outdoor Products, LLC",FIRESTOP,PO for Bicycles with Accessories,Various,Various,22312.0,USD,2026,2,6705,RFPO-6705-V4364,Base PO
RFPO-7139-S9131-3,19 Feb 2026,FORMWORK AND SCAFFOLDING SYSTEMS FOR TERMINAL,Ozler Formwork and Scaffolding Systems (OZLER KALIP VE ISKELE SISTEMLERI A.S),"MVL USA, INC",FORMWORK AND SCAFFOLDING SYSTEMS FOR TERMINAL,Services,Services,132020.6,USD,2026,2,7139,RFPO-7139-S9131,Change Order
RFPO-7139-S9127-3,19 Feb 2026,FORMWORK AND SCAFFOLDING SYSTEMS FOR TOWER,Ozler Formwork and Scaffolding Systems (OZLER KALIP VE ISKELE SISTEMLERI A.S),"MVL USA, INC",FORMWORK AND SCAFFOLDING SYSTEMS FOR TOWER,Services,Services,237830.98,USD,2026,2,7139,RFPO-7139-S9127,Change Order
RFPO-6705-E6848-1,18 Feb 2026,PO for Circuit Breaker,Aikah General Trading LLC,Unknown,PO for Circuit Breaker,Electrical,Electrical,460.18,USD,2026,2,6705,RFPO-6705-E6848,Base PO
RFPO-6542-V40026-3,18 Feb 2026,PO for Aluminum Awning Window.,Dateline Exports Inc.,MVL USA JV LLC,PO for Aluminum Awning Window.,Various,Various,11341.22,USD,2026,2,6542,RFPO-6542-V40026,Change Order
RFPO-7139-V40086-2,18 Feb 2026,"PO for Gate Valves, Dismantling Joints, Flange kit, pressure Gauge",Dateline Exports Inc.,MACRO,"PO for Gate Valves, Dismantling Joints, Flange kit, pressure Gauge",Various,Various,4846.38,USD,2026,2,7139,RFPO-7139-V40086,Change Order
RFPO-7139-M4106-1,17 Feb 2026,PO for Wheel Loader Parts-XC948,Warai Parts & Equipment,MW-OCS,PO for Wheel Loader Parts-XC948,Mechanical,Mechanical,4000.0,USD,2026,2,7139,RFPO-7139-M4106,Base PO
RFPO-6705-E6847-1,17 Feb 2026,PO for MV Inline Splice Kits and Connectors,Benfield Electric International Ltd.,Unknown,PO for MV Inline Splice Kits and Connectors,Electrical,Electrical,4046.7,USD,2026,2,6705,RFPO-6705-E6847,Base PO
RFPO-7139-V40085-1,17 Feb 2026,PO for Water and Fire Gate Valves & Fire Hydrants,Watecom International Water Network - LLC,MACRO,PO for Water and Fire Gate Valves & Fire Hydrants,Various,Various,26176.92,USD,2026,2,7139,RFPO-7139-V40085,Base PO
RFPO-7073-M4102-1,17 Feb 2026,PO for Flange Adaptor & Restraining Clamp,Edcos Inc.,MACRO,PO for Flange Adaptor & Restraining Clamp,Mechanical,Mechanical,9489.41,USD,2026,2,7073,RFPO-7073-M4102,Base PO
RFPO-6705-O4-1,17 Feb 2026,PO for Bluebeam Core - Renewal - Annual Subscription (MR. BOB CANIA),AllCAD Solutions LLC,MACRO,PO for Bluebeam Core - Renewal - Annual Subscription (MR. BOB CANIA),Office Assets,Office Assets,251.87,USD,2026,2,6705,RFPO-6705-O4,Base PO
