name,quotedValue,orderedValue,quotedCount,orderedCount,supplierCount,projectCount
Services,120205039.52,7565453.71,371,170,80,42
Various,79249866.49,329329692.67,2176,2289,713,164
Electrical,21170699.01,26961644.79,468,383,111,46
Mechanical,14955601.03,37797201.05,360,361,170,48
Architectural,13578038.97,5243369.31,179,116,44,29
Fire,5660661.2,80964.85,121,26,10,4
Chemicals,1642951.3,3103869.06,22,48,10,4
Office Assets,1182515.27,2729798.55,160,145,36,14
Rental,317832.52,1235158.1,40,40,14,7
Tools,210162.92,238649.92,27,29,14,17
Logistics,112844.41,50524.17,14,9,7,3
Protection,1746.22,2596.59,3,4,2,3
