name,quotedValue,orderedValue,poCount,quoteCount
MACRO,165512648.41,207563363.61,1968,1969
"MVL USA, INC",44822074.02,3721142.71,29,558
MVL USA JV LLC,24402560.6,17846382.64,524,665
MVL Nepal,6793118.5,103554314.23,140,199
FIRESTOP,6780512.92,67979505.0,344,331
MVL Greece,4037772.56,4199239.48,44,27
MVL-Al Othman,2918065.38,0,0,18
MVL BUILDERS JV LLC,656103.0,0,0,2
Yamauchi Gumi,654850.65,327797.68,6,58
MW-OCS,628397.48,3762870.71,20,17
MV LLC,627893.12,0,0,7
MICRON,528390.75,6030402.86,218,27
MPG JV,420127.54,0,0,6
MVL Italy,329247.46,1.0,3,16
MVL Qatar,294765.39,0,0,14
DEFENSE,9000.0,0,0,1
MVL Kuwait,8642.76,0,0,4
MVL Abu Dhabi,2688.0,0,0,1
Gov Svcs,313.14,0,0,1
Unknown,0,44115868.98,197,0
MVL TRADING,0,166519.97,20,0
MVL SOLUTIONS,0,650407.13,37,0
MVL VENTURES,0,19811542.78,97,0
MVL ENERGY,0,1036757.3,57,0
MVL FACILITIES,0,9625.16,8,0
MVL ARABIA,0,43445.0,8,0
CENTRICO,0,261105.53,25,0
MVL PROJECTS,0,626.28,1,0
