yearMonth,quotedValue,orderedValue,quoteCount,poCount
2012-09,0,26750.0,0,1
2012-10,0,142986.9,0,3
2013-01,0,57420.0,0,1
2013-03,0,243264.0,0,1
2013-04,0,159754.5,0,2
2013-05,0,639681.05,0,6
2013-06,0,348508.08,0,4
2013-08,0,185589.28,0,7
2013-09,199482.46,0.0,10,7
2013-10,318133.15,3041252.35,23,25
2013-11,84745.87,181257.61,15,16
2013-12,128594.39,141328.48,9,9
2014-01,830238.58,716486.57,31,25
2014-02,277892.94,1376364.92,31,26
2014-03,206212.0,190464.77,27,9
2014-04,816888.59,744575.94,41,28
2014-05,46367.31,1369.64,7,1
2014-06,13404.36,40079.35,3,2
2014-07,424961.59,129591.42,33,6
2014-08,573705.21,588697.06,35,25
2014-09,1402643.65,1050942.25,47,26
2014-10,1041736.05,965435.88,41,18
2014-11,8704953.67,303916.02,44,13
2014-12,389509.85,2437036.74,54,51
2015-01,557145.91,118271.31,33,29
2015-02,338141.11,150691.62,33,27
2015-03,322617.41,1487926.55,29,52
2015-04,32516414.9,49380088.13,32,24
2015-05,59266939.43,26513653.89,28,23
2015-06,990451.52,831825.82,13,33
2015-07,427553.34,104493.71,6,12
2015-08,573846.8,18707.48,8,10
2015-09,6265309.63,92831.79,17,10
2015-10,597639.78,1398739.57,24,27
2015-11,843723.1,503135.68,45,40
2015-12,203718.58,335293.49,41,45
2016-01,264466.7,240796.69,43,45
2016-02,33959.2,145577.55,20,22
2016-03,319375.88,66328.62,10,12
2016-04,81731.93,126914.53,4,9
2016-05,285948.98,69850.85,10,17
2016-06,50920.88,64958.19,9,9
2016-07,47822.53,1022.53,3,2
2016-08,391.0,72139.14,2,9
2016-09,-241725.1,83628.45,3,12
2016-10,1195636.15,265513.83,6,3
2016-11,62806.34,32951.82,4,8
2016-12,545223.32,233807.26,13,15
2017-01,176973.32,35112.34,13,8
2017-02,46198.1,45783.11,8,7
2017-03,1099752.87,1175744.73,11,5
2017-04,159114.7,237408.72,5,8
2017-05,9890.11,19859.48,1,3
2017-06,1086605.48,387498.25,14,10
2017-07,215322.36,18512.93,7,6
2017-08,111434.15,121248.67,7,9
2017-09,69372.37,34949.5,8,10
2017-10,110109.99,27091.58,9,12
2017-11,142041.35,37470.32,15,13
2017-12,124107.14,56485.67,4,2
2018-01,160120.5,203968.83,7,14
2018-02,200179.08,223311.32,10,8
2018-03,325468.57,47823.96,13,11
2018-04,88539.59,58734.51,5,6
2018-05,886245.04,461893.71,18,10
2018-06,845781.44,188387.13,20,15
2018-07,482283.08,523012.37,13,11
2018-08,65555.76,308887.96,9,15
2018-09,3633624.33,61180.16,15,11
2018-10,643371.44,354274.67,12,11
2018-11,3191566.51,1001697.95,18,9
2018-12,-322864.87,5923.14,9,3
2019-01,11621.85,7632.33,6,5
2019-02,714900.11,23443.83,11,5
2019-03,8309341.37,209119.1,8,7
2019-04,125975.19,10913.94,9,4
2019-05,107540.01,116248.96,11,12
2019-06,86150.94,141517.08,6,10
2019-07,3013069.31,226450.24,16,10
2019-08,136192.14,3792984.41,14,12
2019-09,210779.13,3624597.25,15,19
2019-10,5933369.46,1358086.41,21,15
2019-11,291175.13,3869460.77,11,9
2019-12,4138294.39,14065388.4,16,15
2020-01,17851338.2,2382212.22,14,17
2020-02,337530.55,25006655.32,17,19
2020-03,416402.98,362012.82,9,9
2020-04,608763.08,532251.81,8,5
2020-05,275265.47,10240.63,5,4
2020-06,2144.18,41849.88,1,8
2020-07,768730.98,17440560.11,15,20
2020-08,1038038.76,19033662.94,23,24
2020-09,558116.83,3706027.1,28,24
2020-10,1000690.09,8322228.79,23,16
2020-11,164832.78,7070397.26,15,18
2020-12,291936.41,47173082.03,18,22
2021-01,715604.8,66673464.75,38,40
2021-02,801406.31,30603123.54,44,48
2021-03,550444.24,6220198.76,21,23
2021-04,541454.08,9250133.83,28,24
2021-05,258426.32,7247711.04,25,31
2021-06,129469.8,1861995.45,14,16
2021-07,55695.82,35914.16,5,3
2021-08,94515.65,792428.18,14,18
2021-09,84179.33,17848.16,12,9
2021-10,50395.19,1653961.53,8,12
2021-11,1728850.03,924751.05,13,18
2021-12,20169.37,536419.27,6,10
2022-01,153073.45,6221.53,5,6
2022-02,140035.51,29577.97,8,8
2022-03,727193.28,728795.03,11,8
2022-04,22266.27,2124477.8,8,8
2022-05,307513.03,196453.93,9,6
2022-06,62298.2,423050.79,6,7
2022-07,68.62,81175.82,1,1
2022-08,600798.97,481958.91,11,9
2022-09,535858.73,405054.56,12,11
2022-10,637462.9,432591.46,10,12
2022-11,506903.76,527068.89,6,10
2022-12,217910.43,132694.01,13,13
2023-01,290918.87,303043.53,16,18
2023-02,1121517.99,925216.51,23,31
2023-03,1092502.89,1778232.49,34,37
2023-04,1594617.33,1381539.67,23,23
2023-05,1031487.4,930913.57,37,40
2023-06,642041.8,539068.34,31,32
2023-07,635697.77,326683.5,49,45
2023-08,2156592.37,951146.7,77,65
2023-09,859766.73,1828360.77,33,46
2023-10,1124606.01,897214.21,80,70
2023-11,1432423.59,1301674.79,39,42
2023-12,1162181.3,891029.17,43,38
2024-01,1482003.49,876994.92,56,45
2024-02,1182011.65,1997920.89,48,52
2024-03,725042.26,403116.49,31,26
2024-04,491672.07,834743.99,38,38
2024-05,1234536.56,1326412.99,47,49
2024-06,1312909.39,1291960.85,26,24
2024-07,616776.74,670401.99,37,35
2024-08,2310570.66,3547067.22,48,48
2024-09,2005902.97,1328056.19,71,60
2024-10,2773102.82,2584013.47,80,82
2024-11,3250453.35,3391305.0,72,68
2024-12,1577346.31,2050629.06,37,38
2025-01,1563804.91,791665.44,68,62
2025-02,2147370.27,2082647.82,63,55
2025-03,1504949.08,1898453.69,69,63
2025-04,6335096.08,5722220.41,88,80
2025-05,6438407.35,7639538.04,91,82
2025-06,4703137.29,4401590.49,95,89
2025-07,1868402.19,1710733.51,91,94
2025-08,1976993.87,2345393.01,57,58
2025-09,2253742.3,2723810.69,78,76
2025-10,1326727.18,1595524.66,64,65
2025-11,2610946.87,4414932.98,87,80
2025-12,935417.86,1033437.21,60,57
2026-01,1631324.41,3595843.53,81,72
2026-02,2129654.87,17166123.86,67,77
