orderId,mainOrderId,poNumber,groupTotalValueUSD,groupPOCount
RFPO-6705-V40173,6705,RFPO-6705-V40173-1,3124.95,2
RFPO-6705-V40173,6705,RFPO-6705-V40173-2,3124.95,2
RFPO-7139-V40082,7139,RFPO-7139-V40082-1,3124.95,2
RFPO-7139-V40082,7139,RFPO-7139-V40082-2,3124.95,2
RFPO-7139-S9131,7139,RFPO-7139-S9131-1,357648.56,3
RFPO-7139-S9131,7139,RFPO-7139-S9131-2,357648.56,3
RFPO-7139-S9131,7139,RFPO-7139-S9131-3,357648.56,3
RFPO-7139-S9127,7139,RFPO-7139-S9127-1,619744.52,3
RFPO-7139-S9127,7139,RFPO-7139-S9127-2,619744.52,3
RFPO-7139-S9127,7139,RFPO-7139-S9127-3,619744.52,3
RFPO-7139-V40086,7139,RFPO-7139-V40086-1,10050.72,2
RFPO-7139-V40086,7139,RFPO-7139-V40086-2,10050.72,2
RFPO-5532-M4050,5532,RFPO-5532-M4050-1,2619.16,2
RFPO-5532-M4050,5532,RFPO-5532-M4050-2,2619.16,2
RFPO-6705-V40161,6705,RFPO-6705-V40161-1,184338.95,2
RFPO-6705-V40161,6705,RFPO-6705-V40161-2,184338.95,2
RFPO-6705-A5202,6705,RFPO-6705-A5202-1,1017.29,2
RFPO-6705-A5202,6705,RFPO-6705-A5202-2,1017.29,2
RFPO-5829-R1512,5829,RFPO-5829-R1512-1,38665.76,2
RFPO-5829-R1512,5829,RFPO-5829-R1512-2,38665.76,2
RFPO-7139-V40064,7139,RFPO-7139-V40064-1,68088.3,2
RFPO-7139-V40064,7139,RFPO-7139-V40064-2,68088.3,2
RFPO-6705-V40005,6705,RFPO-6705-V40005-1,814559.43,3
RFPO-6705-V40005,6705,RFPO-6705-V40005-2,814559.43,3
RFPO-6705-V40005,6705,RFPO-6705-V40005-3,814559.43,3
RFPO-6705-V4362,6705,RFPO-6705-V4362-1,3345.9,2
RFPO-6705-V4362,6705,RFPO-6705-V4362-2,3345.9,2
RFPO-7139-V40036,7139,RFPO-7139-V40036-1,67346.21,2
RFPO-7139-V40036,7139,RFPO-7139-V40036-2,67346.21,2
RFPO-6705-V40159,6705,RFPO-6705-V40159-1,1414.62,2
RFPO-6705-V40159,6705,RFPO-6705-V40159-2,1414.62,2
RFPO-7616-M4001,7616,RFPO-7616-M4001-1,244648.0,2
RFPO-7616-M4001,7616,RFPO-7616-M4001-2,244648.0,2
RFPO-5829-S9105,5829,RFPO-5829-S9105-1,29952.34,2
RFPO-5829-S9105,5829,RFPO-5829-S9105-2,29952.34,2
RFPO-5532-M4048,5532,RFPO-5532-M4048-1,1559.0,2
RFPO-5532-M4048,5532,RFPO-5532-M4048-2,1559.0,2
RFPO-5532-M4106,5532,RFPO-5532-M4106-1,3188.35,2
RFPO-5532-M4106,5532,RFPO-5532-M4106-2,3188.35,2
RFPO-7039-E6802B,7039,RFPO-7039-E6802B-1,3597445.25,2
RFPO-7039-E6802B,7039,RFPO-7039-E6802B-2,3597445.25,2
RFPO-6705-V40149,6705,RFPO-6705-V40149-1,466418.0,2
RFPO-6705-V40149,6705,RFPO-6705-V40149-2,466418.0,2
RFPO-5503-A5205,5503,RFPO-5503-A5205-1,46260.87,2
RFPO-5503-A5205,5503,RFPO-5503-A5205-2,46260.87,2
RFPO-6705-E6836A,6705,RFPO-6705-E6836A-1,6146.41,2
RFPO-6705-E6836A,6705,RFPO-6705-E6836A-2,6146.41,2
RFPO-1569-O103,1569,RFPO-1569-O103-1,9776.22,3
RFPO-1569-O103,1569,RFPO-1569-O103-2,9776.22,3
RFPO-1569-O103,1569,RFPO-1569-O103-3,9776.22,3
RFPO-6705-V40070,6705,RFPO-6705-V40070-1,5857.24,2
RFPO-6705-V40070,6705,RFPO-6705-V40070-2,5857.24,2
