quotationNumber,quotationDate,poDate,daysToConvert,month,orderId
RFQ-5153-V4351,2022-10-26,2022-10-26,0,2022-10,10936
RFQ-5410-V40001,2022-10-19,2022-10-19,0,2022-10,10918
RFQ-5503-V4351,2022-09-21,2022-09-21,0,2022-09,10831
RFQ-5327-S9073,2022-08-01,2022-08-02,1,2022-08,10662
RFQ-5342-M4101,2022-05-20,2022-05-20,0,2022-05,10426
RFQ-5270-O1,2022-03-02,2022-03-02,0,2022-03,10233
RFQ-5213-S9082,2021-11-09,2021-11-09,0,2021-11,9917
RFQ-4814-M4101,2021-11-08,2021-11-08,0,2021-11,9908
RFQ-2623-E6801,2020-08-27,2020-08-27,0,2020-08,8387
RFQ-3734-V4251,2020-08-12,2020-08-12,0,2020-08,8318
RFQ-3734-S9031,2020-08-12,2020-08-12,0,2020-08,8317
RFQ-3734-S9089,2020-07-28,2020-08-12,15,2020-07,8280
RFQ-3734-S9085,2020-05-06,2020-08-12,98,2020-05,8045
RFQ-3734-S9084,2020-04-16,2020-08-12,118,2020-04,7998
RFQ-3728-M4101,2020-03-10,2020-03-12,2,2020-03,7871
RFQ-3734-S9080A,2020-01-28,2020-08-12,197,2020-01,7633
RFQ-3734-S9080,2020-01-28,2020-08-12,197,2020-01,7632
RFQ-3734-S9079,2020-01-23,2020-08-12,202,2020-01,7607
RFQ-3734-S9078,2020-01-21,2020-08-12,204,2020-01,7594
RFQ-3734-S9077,2020-01-05,2020-08-12,220,2020-01,7493
RFQ-3742-S9078,2019-12-31,2020-01-08,8,2019-12,7485
RFQ-3742-S9077,2019-12-22,2020-01-08,17,2019-12,7439
RFQ-3734-S9076,2019-12-11,2020-08-12,245,2019-12,7387
RFQ-3742-S9074,2019-11-12,2020-01-08,57,2019-11,7269
RFQ-3742-S9072,2019-11-10,2020-01-08,59,2019-11,7252
RFQ-3728-S9072,2019-10-16,2020-03-12,148,2019-10,7141
RFQ-3550-R1500,2019-08-18,2019-08-19,1,2019-08,6866
RFQ-2797-V4351,2019-07-16,2019-07-16,0,2019-07,6762
RFQ-2797-S9075,2019-07-08,2019-07-16,8,2019-07,6727
RFQ-3473-S9071,2019-06-27,2019-06-27,0,2019-06,6691
RFQ-3427-S9071,2019-05-29,2019-07-22,54,2019-05,6592
RFQ-2952-V4251A,2019-03-24,2019-03-24,0,2019-03,6342
RFQ-2797-S9074,2019-03-13,2019-07-16,125,2019-03,6297
RFQ-2951-V4252,2019-03-10,2019-03-11,1,2019-03,6272
RFQ-2797-S9073,2019-02-13,2019-07-16,153,2019-02,6181
RFQ-2797-S9072,2019-02-04,2019-07-16,162,2019-02,6131
RFQ-2953-E6800,2019-01-07,2019-01-07,0,2019-01,6013
RFQ-2797-S9071,2018-11-29,2019-07-16,229,2018-11,5886
RFQ-2953-S9071,2018-11-14,2019-01-07,54,2018-11,5846
RFQ-2952-S9071,2018-11-14,2019-03-24,130,2018-11,5845
RFQ-2951-S9071,2018-11-14,2019-03-11,117,2018-11,5844
RFQ-2569-O2,2018-10-02,2018-10-02,0,2018-10,5665
RFQ-2569-O1,2018-10-02,2018-10-02,0,2018-10,5663
RFQ-2555-M4101,2018-06-28,2018-07-01,3,2018-06,5267
RFQ-2394-T1000,2018-06-20,2018-06-20,0,2018-06,5237
RFQ-2532-M4102,2018-05-09,2018-05-09,0,2018-05,5090
RFQ-2532-S9071A,2018-05-06,2018-05-09,3,2018-05,5075
RFQ-2394-S9077,2018-03-19,2018-06-20,93,2018-03,4872
RFQ-2394-S9076,2018-03-12,2018-06-20,100,2018-03,4840
RFQ-1613-M4103,2018-03-04,2018-03-06,2,2018-03,4814
RFQ-1613-M4102,2018-03-04,2018-03-06,2,2018-03,4813
RFQ-2152-V4351,2018-02-27,2018-02-28,1,2018-02,4799
RFQ-2394-S9073,2018-02-27,2018-06-20,113,2018-02,4795
RFQ-2394-S9072,2018-02-25,2018-06-20,115,2018-02,4789
RFQ-2394-S9071,2018-02-25,2018-06-20,115,2018-02,4788
RFQ-1094-V4352,2017-04-26,2017-04-26,0,2017-04,3780
RFQ-1581-V4251,2017-03-30,2017-04-02,3,2017-03,3691
RFQ-1593-M4102,2017-01-29,2017-01-29,0,2017-01,3514
RFQ-1595-V4251,2016-12-20,2016-12-22,2,2016-12,3408
RFQ-1608-V4251,2016-12-15,2016-12-15,0,2016-12,3394
RFQ-1569-V4351,2016-12-14,2016-12-14,0,2016-12,3389
RFQ-1592-V4251,2016-11-30,2016-11-30,0,2016-11,3363
RFQ-1592-T1000,2016-11-30,2016-11-30,0,2016-11,3362
RFQ-1592-S9074,2016-10-15,2016-11-30,46,2016-10,3278
RFQ-1614-V4251,2016-10-09,2016-10-09,0,2016-10,3264
RFQ-1005-M6985,2015-12-20,2015-12-20,0,2015-12,2493
RFQ-1005-F7045,2015-11-22,2015-12-20,28,2015-11,2398
RFQ-1005-F7044,2015-11-22,2015-12-20,28,2015-11,2397
RFQ-1192-V4251,2015-10-27,2015-10-27,0,2015-10,2317
RFQ-982-1614,2015-04-20,2015-04-20,0,2015-04,1614
RFQ-982-1597,2015-04-13,2015-04-20,7,2015-04,1597
RFQ-982-1592,2015-04-12,2015-04-20,8,2015-04,1592
RFQ-566-1557,2015-03-29,2015-03-29,0,2015-03,1557
RFQ-566-1501,2015-03-04,2015-03-29,25,2015-03,1501
RFQ-566-1428,2015-01-28,2015-03-29,60,2015-01,1428
RFQ-637-1411,2015-01-18,2015-01-19,1,2015-01,1411
RFQ-781-1401,2015-01-11,2015-01-11,0,2015-01,1401
RFQ-637-1262,2014-11-10,2015-01-19,70,2014-11,1262
RFQ-637-1260,2014-11-09,2015-01-19,71,2014-11,1260
RFQ-637-1259,2014-11-09,2015-01-19,71,2014-11,1259
RFQ-637-1258,2014-11-09,2015-01-19,71,2014-11,1258
RFQ-566-1217,2014-10-26,2015-03-29,154,2014-10,1217
RFQ-637-1178,2014-10-08,2015-01-19,103,2014-10,1178
RFQ-637-1169,2014-10-01,2015-01-19,110,2014-10,1169
RFQ-637-1161,2014-09-29,2015-01-19,112,2014-09,1161
RFQ-637-1154,2014-09-28,2015-01-19,113,2014-09,1154
RFQ-566-1097,2014-08-31,2015-03-29,210,2014-08,1097
RFQ-566-1049,2014-08-11,2015-03-29,230,2014-08,1049
RFQ-573-1005,2014-07-20,2014-07-21,1,2014-07,1005
RFQ-573-1004,2014-07-20,2014-07-21,1,2014-07,1004
RFQ-573-1003,2014-07-20,2014-07-21,1,2014-07,1003
RFQ-497-886,2014-04-03,2014-04-03,0,2014-04,886
RFQ-158-714,2014-01-14,2014-01-14,0,2014-01,714
RFQ-158-713,2014-01-14,2014-01-14,0,2014-01,713
RFQ-158-711,2014-01-14,2014-01-14,0,2014-01,711
RFQ-158-710,2014-01-14,2014-01-14,0,2014-01,710
RFQ-258-700,2014-01-07,2014-01-07,0,2014-01,700
RFQ-256-606,2013-11-04,2013-11-04,0,2013-11,606
RFQ-256-605,2013-11-04,2013-11-04,0,2013-11,605
RFQ-256-603,2013-11-04,2013-11-04,0,2013-11,603
RFQ-256-602,2013-11-04,2013-11-04,0,2013-11,602
RFQ-1013-546,2013-10-03,2013-10-03,0,2013-10,546
RFQ-1013-544,2013-10-03,2013-10-03,0,2013-10,544
RFQ-1013-543,2013-10-02,2013-10-03,1,2013-10,543
RFQ-913-536,2013-09-30,2013-09-30,0,2013-09,536
RFQ-913-535,2013-09-30,2013-09-30,0,2013-09,535
RFQ-913-534,2013-09-30,2013-09-30,0,2013-09,534
RFQ-913-533,2013-09-30,2013-09-30,0,2013-09,533
RFQ-913-526,2013-09-25,2013-09-30,5,2013-09,526
RFQ-913-512,2013-09-19,2013-09-30,11,2013-09,512
RFQ-913-511,2013-09-19,2013-09-30,11,2013-09,511
RFQ-913-510,2013-09-18,2013-09-30,12,2013-09,510
RFQ-913-509,2013-09-18,2013-09-30,12,2013-09,509
RFQ-7932-V40003,2026-02-10,2026-02-10,0,2026-02,15266
RFQ-7932-V40002,2026-02-10,2026-02-10,0,2026-02,15265
RFQ-7932-V40001,2026-02-10,2026-02-10,0,2026-02,15263
RFQ-7932-V40000,2026-02-10,2026-02-10,0,2026-02,15262
RFQ-8206-O1,2025-12-24,2025-12-24,0,2025-12,15092
RFQ-7616-M4000,2025-10-27,2025-10-28,1,2025-10,14849
RFQ-7878-V40000,2025-10-24,2025-10-24,0,2025-10,14843
RFQ-7864-V40000,2025-08-20,2025-08-20,0,2025-08,14599
RFQ-5828-O1,2025-07-09,2025-07-09,0,2025-07,14435
RFQ-7505-V40000,2025-07-07,2025-07-09,2,2025-07,14423
RFQ-7414-P4800,2025-06-04,2025-06-04,0,2025-06,14283
RFQ-7044-V40000,2025-04-28,2025-04-28,0,2025-04,14113
RFQ-7212-V40000,2025-03-18,2025-03-19,1,2025-03,13939
RFQ-7073-V40000,2025-02-13,2025-02-18,5,2025-02,13823
RFQ-7120-V40001,2025-02-07,2025-02-07,0,2025-02,13807
RFQ-7120-V40000,2025-02-06,2025-02-07,1,2025-02,13805
RFQ-7208-V40000,2025-02-03,2025-02-03,0,2025-02,13780
RFQ-7098-V40000,2024-11-20,2025-01-10,51,2024-11,13521
RFQ-7204-S9073,2024-10-15,2024-10-15,0,2024-10,13363
RFQ-7198-S9072,2024-10-15,2024-10-15,0,2024-10,13362
RFQ-7205-S9073,2024-10-15,2024-10-15,0,2024-10,13358
RFQ-7039-V40000,2024-09-10,2024-09-11,1,2024-09,13221
RFQ-6841-M4101,2024-09-06,2024-09-09,3,2024-09,13208
RFQ-7103-E6800,2024-08-29,2024-09-05,7,2024-08,13183
RFQ-6481-S9100,2024-08-29,2024-08-29,0,2024-08,13179
RFQ-7027-M4000,2024-08-26,2024-08-26,0,2024-08,13169
RFQ-6746-V40001,2024-08-21,2024-08-21,0,2024-08,13152
RFQ-6952-V40000,2024-08-21,2024-08-21,0,2024-08,13151
RFQ-7010-V40000,2024-08-08,2024-08-29,21,2024-08,13125
RFQ-6746-M4101,2024-08-08,2024-08-21,13,2024-08,13124
RFQ-5429-V40000,2024-08-08,2024-08-08,0,2024-08,13118
RFQ-6718-V40001B,2024-08-06,2024-08-07,1,2024-08,13108
RFQ-6718-V40002A,2024-08-06,2024-08-07,1,2024-08,13106
RFQ-6852-V40001,2024-08-03,2024-08-07,4,2024-08,13097
RFQ-6852-V40000,2024-08-02,2024-08-07,5,2024-08,13095
RFQ-6680-V40000,2024-07-23,2024-07-23,0,2024-07,13060
RFQ-6542-V40003,2024-06-24,2024-06-24,0,2024-06,12999
RFQ-6542-V40002,2024-06-24,2024-06-24,0,2024-06,12998
RFQ-6542-V40001,2024-06-24,2024-06-24,0,2024-06,12997
RFQ-6542-E6800,2024-06-24,2024-06-24,0,2024-06,12994
RFQ-6542-V40000,2024-06-24,2024-06-24,0,2024-06,12992
RFQ-6424-V40000,2024-04-03,2024-04-03,0,2024-04,12799
RFQ-6069-V40000,2024-03-25,2024-03-25,0,2024-03,12763
RFQ-6505-V40000,2024-02-15,2024-02-15,0,2024-02,12660
RFQ-6645-S9100,2024-02-07,2024-02-07,0,2024-02,12629
RFQ-6646-R1500,2024-02-01,2024-02-01,0,2024-02,12606
RFQ-6544-V40000,2024-01-15,2024-01-15,0,2024-01,12545
RFQ-6408-V40001,2023-10-12,2023-10-17,5,2023-10,12254
