month,avgDays,count
2013-09,5.7,9
2013-10,0.3,3
2013-11,0.0,4
2014-01,0.0,5
2014-04,0.0,1
2014-07,1.0,3
2014-08,220.0,2
2014-09,112.5,2
2014-10,122.3,3
2014-11,70.8,4
2015-01,20.3,3
2015-03,12.5,2
2015-04,5.0,3
2015-10,0.0,1
2015-11,28.0,2
2015-12,0.0,1
2016-10,23.0,2
2016-11,0.0,2
2016-12,0.7,3
2017-01,0.0,1
2017-03,3.0,1
2017-04,0.0,1
2018-02,86.0,4
2018-03,49.2,4
2018-05,1.5,2
2018-06,1.5,2
2018-10,0.0,2
2018-11,132.5,4
2019-01,0.0,1
2019-02,157.5,2
2019-03,42.0,3
2019-05,54.0,1
2019-06,0.0,1
2019-07,4.0,2
2019-08,1.0,1
2019-10,148.0,1
2019-11,58.0,2
2019-12,90.0,3
2020-01,204.0,5
2020-03,2.0,1
2020-04,118.0,1
2020-05,98.0,1
2020-07,15.0,1
2020-08,0.0,3
2021-11,0.0,2
2022-03,0.0,1
2022-05,0.0,1
2022-08,1.0,1
2022-09,0.0,1
2022-10,0.0,2
2023-01,0.0,1
2023-02,5.0,6
2023-03,1.0,1
2023-04,0.0,1
2023-05,0.0,2
2023-07,0.0,1
2023-08,3.8,5
2023-09,191.0,1
2023-10,5.0,2
2024-01,0.0,1
2024-02,0.0,3
2024-03,0.0,1
2024-04,0.0,1
2024-06,0.0,5
2024-07,0.0,1
2024-08,4.3,12
2024-09,2.0,2
2024-10,0.0,3
2024-11,51.0,1
2025-02,1.5,4
2025-03,1.0,1
2025-04,0.0,1
2025-06,0.0,1
2025-07,1.0,2
2025-08,0.0,1
2025-10,0.5,2
2025-12,0.0,1
2026-02,0.0,4
