poNumber,poDate,poName,supplier,originalValue,currency,mainOrderId,orderId,entityCode,entity,material,materialCode,poVersion,isChangeOrder,year,month,yearMonth,valueUSD,poSpendUSD,poType,changeOrderGroup,changeOrderTotal,project
RFPO-1569-V4435-1,20 Feb 2026,PO for Consumable/Service items for the SHARP MX‑3051 Printer 1801,NEW SMART OFFICE AUTOMATION LLC,2040.0,AED,1569,8496,V4435,FIRESTOP,Sanitary and Toilet Accessories,Architectural,1,False,2026,2,2026-02,555.48,555.48,Base PO,1,1,W5J9JE-18-C-0003 FEMALE POLICE TOWN PHASE I
RFPO-7616-A5201-1,19 Feb 2026,PO for OVERHEAD COILING DOORS,TECHTRADE SAL(OFFSHORE),63742.4,USD,7616,8494,A5201,MACRO,Architectural,Architectural,1,False,2026,2,2026-02,63742.4,63742.4,Base PO,1,1,PO for OVERHEAD COILING DOORS
RFPO-6705-V4364-1,19 Feb 2026,PO for Bicycles with Accessories,"Priority Outdoor Products, LLC",22312.0,USD,6705,8495,V4364,FIRESTOP,Various,Various,1,False,2026,2,2026-02,22312.0,22312.0,Base PO,1,1,PO for Bicycles with Accessories
RFPO-7139-S9131-3,19 Feb 2026,FORMWORK AND SCAFFOLDING SYSTEMS FOR TERMINAL,Ozler Formwork and Scaffolding Systems (OZLER KALIP VE ISKELE SISTEMLERI A.S),132020.6,USD,7139,8053,S9131,"MVL USA, INC",Services,Services,3,True,2026,2,2026-02,132020.6,132020.6,Change Order,3,3,FORMWORK AND SCAFFOLDING SYSTEMS FOR TERMINAL
RFPO-7139-S9127-3,19 Feb 2026,FORMWORK AND SCAFFOLDING SYSTEMS FOR TOWER,Ozler Formwork and Scaffolding Systems (OZLER KALIP VE ISKELE SISTEMLERI A.S),237830.97999999998,USD,7139,8017,S9127,"MVL USA, INC",Services,Services,3,True,2026,2,2026-02,237830.97999999998,237830.97999999998,Change Order,3,3,FORMWORK AND SCAFFOLDING SYSTEMS FOR TOWER
RFPO-6705-E6848-1,18 Feb 2026,PO for Circuit Breaker,Aikah General Trading LLC,1690.0,AED,6705,8493,E6848,Unknown,Building Materials,Various,1,False,2026,2,2026-02,460.18,460.18,Base PO,1,1,"72036719F00003 - Nepal Community Reconstruction Program (NRCP) IDIQ Contract, Task Order For The Reconstruction Of Schools And Health Facilities In Sindhuli District Of Nepal"
RFPO-6542-V40026-3,18 Feb 2026,PO for Aluminum Awning Window.,Dateline Exports Inc.,11341.220000000001,USD,6542,7573,V40026,MVL USA JV LLC,Various,Various,3,True,2026,2,2026-02,11341.220000000001,11341.220000000001,Change Order,1,1,PO for Aluminum Awning Window.
RFPO-7139-V40086-2,18 Feb 2026,"PO for Gate Valves, Dismantling Joints, Flange kit, pressure Gauge",Dateline Exports Inc.,4846.38,USD,7139,8492,V40086,MACRO,Various,Various,2,True,2026,2,2026-02,4846.38,4846.38,Change Order,2,2,"PO for Gate Valves, Dismantling Joints, Flange kit, pressure Gauge"
RFPO-7139-M4106-1,17 Feb 2026,PO for Wheel Loader Parts-XC948,Warai Parts & Equipment,4000.0,USD,7139,8487,M4106,MW-OCS,Building Materials,Various,1,False,2026,2,2026-02,4000.0,4000.0,Base PO,1,1,W5J9JE-18-C-0003 FEMALE POLICE TOWN PHASE I
RFPO-6705-E6847-1,17 Feb 2026,PO for MV Inline Splice Kits and Connectors,Benfield Electric International Ltd.,4046.7,USD,6705,8488,E6847,Unknown,Building Materials,Various,1,False,2026,2,2026-02,4046.7,4046.7,Base PO,1,1,"72036719F00003 - Nepal Community Reconstruction Program (NRCP) IDIQ Contract, Task Order For The Reconstruction Of Schools And Health Facilities In Sindhuli District Of Nepal"
RFPO-7139-V40085-1,17 Feb 2026,PO for Water and Fire Gate Valves & Fire Hydrants,Watecom International Water Network - LLC,96134.73999999999,USD,7139,8489,V40085,MACRO,Various,Various,1,False,2026,2,2026-02,96134.73999999999,96134.73999999999,Base PO,1,1,PO for Water and Fire Gate Valves & Fire Hydrants
RFPO-7073-M4102-1,17 Feb 2026,PO for Flange Adaptor & Restraining Clamp,Edcos Inc.,9489.41,USD,7073,8490,M4102,MACRO,Mechanical,Mechanical,1,False,2026,2,2026-02,9489.41,9489.41,Base PO,1,1,PO for Flange Adaptor & Restraining Clamp
RFPO-6705-O4-1,17 Feb 2026,PO for Bluebeam Core - Renewal - Annual Subscription (MR. BOB CANIA),AllCAD Solutions LLC,925.0,AED,6705,8491,O4,MACRO,Office Assets,Office Assets,1,False,2026,2,2026-02,251.87,251.87,Base PO,1,1,PO for Bluebeam Core - Renewal - Annual Subscription (MR. BOB CANIA)
RFPO-7139-V40086-1,17 Feb 2026,"PO for Gate Valves, Dismantling Joints, Flange kit, pressure Gauge",Dateline Exports Inc.,5204.34,USD,7139,8492,V40086,MACRO,Various,Various,1,False,2026,2,2026-02,5204.34,5204.34,Base PO,2,2,"PO for Gate Valves, Dismantling Joints, Flange kit, pressure Gauge"
RFPO-7098-V40002-1,16 Feb 2026,PO for Pavement marking paint,ODORES METAL LLC,11817.67,USD,7098,8476,V40002,MACRO,Various,Various,1,False,2026,2,2026-02,11817.67,11817.67,Base PO,1,1,PO for Pavement marking paint
RFPO-7139-M4021-1,16 Feb 2026,PO for ATCT - SOKKIA ACCESSORIES,Three Colors Safety Equipment Tr LLC,1350.0,AED,7139,8477,M4021,MVL USA JV LLC,Doors,Architectural,1,False,2026,2,2026-02,367.6,367.6,Base PO,1,1,W5J9JE-18-C-0003 FEMALE POLICE TOWN PHASE I
RFPO-7120-M4101-2,16 Feb 2026,PO for Fire Pump & Controls,Xylem Japan K.K.,11727743.0,JPY,7120,8479,M4101,MACRO,Mechanical,Mechanical,2,True,2026,2,2026-02,11727743.0,11727743.0,Change Order,1,1,PO for Fire Pump & Controls
RFPO-7098-V40001-2,16 Feb 2026,PO for Electrical Butt Connectors,Kelly & Hayes Electrical Industrial & Plumbing Supplies,344.81000000000006,USD,7098,8380,V40001,MACRO,Various,Various,2,True,2026,2,2026-02,344.81000000000006,344.81000000000006,Change Order,1,1,PO for Electrical Butt Connectors
RFPO-7139-V40082-1,16 Feb 2026,PO for ATCT-Grass Trimmer,Dateline Exports Inc.,1420.4299999999998,USD,7139,8478,V40082,MACRO,Various,Various,1,False,2026,2,2026-02,1420.4299999999998,1420.4299999999998,Base PO,1,1,PO for ATCT-Grass Trimmer
RFPO-7139-V40083-1,16 Feb 2026,PO for Formwork Materials- Sanitary Sewer Manhole,Dateline Exports Inc.,6941.210000000001,USD,7139,8480,V40083,MACRO,Building Materials,Various,1,False,2026,2,2026-02,6941.210000000001,6941.210000000001,Base PO,1,1,"72036719F00003 - Nepal Community Reconstruction Program (NRCP) IDIQ Contract, Task Order For The Reconstruction Of Schools And Health Facilities In Sindhuli District Of Nepal"
RFPO-6705-V40173-1,16 Feb 2026,PO for Medical Clinic - Grass Trimmer,Dateline Exports Inc.,1420.4299999999998,USD,6705,8481,V40173,Unknown,Various,Various,1,False,2026,2,2026-02,1420.4299999999998,1420.4299999999998,Base PO,1,1,PO for Medical Clinic - Grass Trimmer
RFPO-7139-E6828-1,16 Feb 2026,PO for Cadweld products,Benfield Electric International Ltd.,3397.4199999999996,USD,7139,8482,E6828,MACRO,Electrical,Electrical,1,False,2026,2,2026-02,3397.4199999999996,3397.4199999999996,Base PO,1,1,W5J9JE-18-C-0003 FEMALE POLICE TOWN PHASE I
RFPO-7139-V40084-1,16 Feb 2026,PO for Formwork-Shear Tie Rods,"White Cap Supply Holdings, LLC",5245.38,USD,7139,8483,V40084,MACRO,Electrical,Electrical,1,False,2026,2,2026-02,5245.38,5245.38,Base PO,1,1,W5J9JE-18-C-0003 FEMALE POLICE TOWN PHASE I
RFPO-7878-V40015-1,16 Feb 2026,PO for Condensate drain Pipes & Fittings,Puget Sound Pipe & Supply,12460.570999999998,USD,7878,8484,V40015,MACRO,Building Materials,Various,1,False,2026,2,2026-02,12460.570999999998,12460.570999999998,Base PO,1,1,W5J9JE-18-C-0003 FEMALE POLICE TOWN PHASE I
RFPO-7120-S9084-1,16 Feb 2026,PO for Filters for CRAC Unit,Global Services Vertiv Japan GK,2851300.0,JPY,7120,8485,S9084,MVL USA JV LLC,Services,Services,1,False,2026,2,2026-02,2851300.0,2851300.0,Base PO,1,1,PO for Filters for CRAC Unit
RFPO-7414-M4101-1,15 Feb 2026,"PO for TRICOM PO: PO/TR/BNB/2026/Synergy - RTP Bolted Steel Water Tank- SUPPLY, DELIVER AND INSTALL",Synergy Vision – Construction Equipments & Machinery Trading LLC,318158.0,USD,7414,8475,M4101,MACRO,Mechanical,Mechanical,1,False,2026,2,2026-02,318158.0,318158.0,Base PO,1,1,"PO for TRICOM PO: PO/TR/BNB/2026/Synergy - RTP Bolted Steel Water Tank- SUPPLY, DELIVER AND INSTALL"
RFPO-7616-V40004-1,12 Feb 2026,PO for Wall Louver,INTEGRATED CONTRACTING SUPPLIERS,30827.8,USD,7616,8474,V40004,MACRO,Various,Various,1,False,2026,2,2026-02,30827.8,30827.8,Base PO,1,1,PO for Wall Louver
RFPO-5532-M4059-1,11 Feb 2026,"PO for 3rd Batch - DG Heavy Equipment 2026 - Zoomlion Boom Lift, JMC Cargo Truck and Pickup",Evangel International Machinery Ltd.,90583.0,USD,5532,8465,M4059,Unknown,Mechanical,Mechanical,1,False,2026,2,2026-02,90583.0,90583.0,Base PO,1,1,"PO for 3rd Batch - DG Heavy Equipment 2026 - Zoomlion Boom Lift, JMC Cargo Truck and Pickup"
RFPO-5532-M4061-1,11 Feb 2026,PO for 	 DG - Proforma Invoice PI266019 – SMA26 Plus GNSS Equipment,"SMAJAYU (Shenzhen) Co., Ltd",2238.0,USD,5532,8466,M4061,Unknown,Mechanical,Mechanical,1,False,2026,2,2026-02,2238.0,2238.0,Base PO,1,1,PO for 	 DG - Proforma Invoice PI266019 – SMA26 Plus GNSS Equipment
RFPO-7039-V40032-1,11 Feb 2026,PO for Termination kits for Switchgear,Eaton FZE,89507.04000000001,AED,7039,8467,V40032,MVL USA JV LLC,Various,Various,1,False,2026,2,2026-02,24372.24,24372.24,Base PO,1,1,PO for Termination kits for Switchgear
RFPO-5532-M4109-1,11 Feb 2026,"PO for Supply of Rigging Gears (Webbing Slings, Round Slings, Chain Blocks, and Lever Hoists)",Lift N Shift Equipment Trading LLC,51704.0,AED,5532,8468,M4109,MVL Nepal,Mechanical,Mechanical,1,False,2026,2,2026-02,14078.69,14078.69,Base PO,1,1,"PO for Supply of Rigging Gears (Webbing Slings, Round Slings, Chain Blocks, and Lever Hoists)"
RFPO-7616-V40003-1,11 Feb 2026,PO for Panel Board,Kelly & Hayes Electrical Industrial & Plumbing Supplies,10187.25,USD,7616,8469,V40003,MACRO,Various,Various,1,False,2026,2,2026-02,10187.25,10187.25,Base PO,1,1,PO for Panel Board
RFPO-5695-V40021-1,11 Feb 2026,PO for Pull Test Materials,Fastener Point LLC,14150.0,AED,5695,8470,V40021,MVL USA JV LLC,Various,Various,1,False,2026,2,2026-02,3852.96,3852.96,Base PO,1,1,PO for Pull Test Materials
RFPO-6705-M4110-1,11 Feb 2026,PO for Load Interrupter Switch,TURTLE,166688.0,USD,6705,8471,M4110,MVL Nepal,Mechanical,Mechanical,1,False,2026,2,2026-02,166688.0,166688.0,Base PO,1,1,PO for Load Interrupter Switch
RFPO-7073-V40015-1,11 Feb 2026,PO for pipe clamps and supports,"Scott & From Co., Inc.",13926.150000000001,USD,7073,8472,V40015,MACRO,Various,Various,1,False,2026,2,2026-02,13926.150000000001,13926.150000000001,Base PO,1,1,PO for pipe clamps and supports
RFPO-1569-O122-1,10 Feb 2026,PO for Microsoft 365 G5 GCC – Annual Subscription Licenses (Pro-Rated) - CSP 1223 MVL - NCE CSP Agreement Renewal - GCC - 2026 - 10 Licenses,Managed Solution LLC,461.70000000000005,USD,1569,8454,O122,Unknown,Building Materials,Various,1,False,2026,2,2026-02,461.70000000000005,461.70000000000005,Base PO,1,1,W5J9JE18C0008 &ndash; MOI COMPLEX FEMALE POLICE TOWN PHASE II
RFPO-7139-V40081-1,10 Feb 2026,PO for Select Granular Fill,SMITHBRIDGE GUAM,90019.2,USD,7139,8455,V40081,MACRO,Various,Various,1,False,2026,2,2026-02,90019.2,90019.2,Base PO,1,1,PO for Select Granular Fill
RFPO-6705-V40172-1,10 Feb 2026,PO for Custom Items-Storage/ Warehouse Accessories,Uline,3404.57,USD,6705,8456,V40172,Unknown,Various,Various,1,False,2026,2,2026-02,3404.57,3404.57,Base PO,1,1,PO for Custom Items-Storage/ Warehouse Accessories
RFPO-7139-E6827-1,10 Feb 2026,PO for Medium Voltage Cable,EMSI Inc.,18766.0,USD,7139,8457,E6827,MACRO,Electrical,Electrical,1,False,2026,2,2026-02,18766.0,18766.0,Base PO,1,1,PO for Medium Voltage Cable
RFPO-7878-V40014-1,10 Feb 2026,PO for Air Venting Valves & Strainer,INTEGRATED CONTRACTING SUPPLIERS,2646.0,USD,7878,8459,V40014,MACRO,Building Materials,Various,1,False,2026,2,2026-02,2646.0,2646.0,Base PO,1,1,(QTR-173) W912ER-19-C-0016 CONSOLIDATED SQUADRON OPERATIONS FACILITY
RFPO-7932-V40000-1,10 Feb 2026,PO for Duct Insulation Materials,"Scott & From Co., Inc.",4511.800000000001,USD,7932,8461,V40000,MACRO,Various,Various,1,False,2026,2,2026-02,4511.800000000001,4511.800000000001,Base PO,1,1,PO for Duct Insulation Materials
RFPO-7932-V40001-1,10 Feb 2026,PO for Duct Access Doors,PRIME A/C INDUSTRIES (L.L.C),300.0,AED,7932,8460,V40001,MACRO,Various,Various,1,False,2026,2,2026-02,81.69,81.69,Base PO,1,1,PO for Duct Access Doors
RFPO-7932-V40003-1,10 Feb 2026,PO for Hot Water Pump,INTEGRATED CONTRACTING SUPPLIERS,2892.0,USD,7932,8463,V40003,MACRO,Various,Various,1,False,2026,2,2026-02,2892.0,2892.0,Base PO,1,1,PO for Hot Water Pump
RFPO-7932-V40002-1,10 Feb 2026,PO for Electric Water Heaters,Cimmaron International Corporation,5152.5,USD,7932,8462,V40002,MACRO,Various,Various,1,False,2026,2,2026-02,5152.5,5152.5,Base PO,1,1,PO for Electric Water Heaters
