name,quotedValue,orderedValue,quotedCount,orderedCount,supplierCount,projectCount
Services,120207253.31,12094632.78,369,242,142,194
Various,79922157.55,312270619.18,2170,2159,718,1904
Electrical,21558909.24,26088451.12,465,395,151,348
Mechanical,14650236.53,48782013.68,353,340,176,303
Architectural,13628464.04,5305818.2,177,130,64,110
Fire,5658777.13,485244.07,121,55,36,49
Chemicals,1591448.82,4102970.53,22,46,14,37
Office Assets,1213847.63,2859433.28,160,144,42,132
Rental,332035.16,1291719.97,40,45,20,40
Tools,211816.8,213415.07,27,26,14,24
Logistics,112932.73,9313.32,14,10,9,10
Protection,1783.98,2596.59,3,4,2,3
