quotationNumber,quotationDate,poDate,daysToConvert,month,orderId
RFQ-781-S9032,2015-06-04,2017-01-23,599,2015-06,1740
RFQ-573-V4253,2015-06-04,2017-01-19,595,2015-06,1736
RFQ-573-A5203,2015-06-03,2017-01-19,596,2015-06,1734
RFQ-573-V4251,2015-05-25,2017-01-05,591,2015-05,1704
RFQ-982-1614A,2015-05-19,2016-12-22,583,2015-05,1692
RFQ-573-V4351,2015-05-13,2016-12-15,582,2015-05,1680
RFQ-497-E6801,2015-05-13,2016-12-14,581,2015-05,1679
RFQ-497-E6800,2015-05-12,2016-12-08,576,2015-05,1673
RFQ-781-S9072,2015-05-10,2016-12-05,575,2015-05,1670
RFQ-497-1602,2015-04-15,2016-09-22,526,2015-04,1602
RFQ-637-1574,2015-04-07,2016-08-22,503,2015-04,1574
RFQ-566-1573,2015-04-07,2016-08-23,504,2015-04,1573
RFQ-566-1571,2015-04-07,2016-08-17,498,2015-04,1571
RFQ-573-1566,2015-04-06,2016-08-10,492,2015-04,1566
RFQ-497-1560,2015-04-01,2016-08-08,495,2015-04,1560
RFQ-497-1526,2015-03-17,2016-06-27,468,2015-03,1526
RFQ-497-1517,2015-03-11,2016-06-13,460,2015-03,1517
RFQ-573-1505,2015-03-05,2016-05-31,453,2015-03,1505
RFQ-566-1501,2015-03-04,2016-05-29,452,2015-03,1501
RFQ-497-1493,2015-03-03,2016-05-22,446,2015-03,1493
RFQ-573-1487,2015-03-01,2016-05-16,442,2015-03,1487
RFQ-497-1484,2015-03-01,2016-05-12,438,2015-03,1484
RFQ-573-1483,2015-03-01,2016-05-08,434,2015-03,1483
RFQ-573-1478,2015-02-25,2016-05-02,432,2015-02,1478
RFQ-573-1477,2015-02-25,2016-05-02,432,2015-02,1477
RFQ-573-1467,2015-02-23,2016-04-24,426,2015-02,1467
RFQ-497-1464,2015-02-23,2016-04-21,423,2015-02,1464
RFQ-573-1463,2015-02-22,2016-04-20,423,2015-02,1463
RFQ-573-1433,2015-02-02,2016-03-10,402,2015-02,1433
RFQ-497-1432,2015-02-01,2016-03-10,403,2015-02,1432
RFQ-573-1430,2015-02-01,2016-03-06,399,2015-02,1430
RFQ-497-1426,2015-01-26,2016-02-29,399,2015-01,1426
RFQ-497-1421,2015-01-25,2016-02-22,393,2015-01,1421
RFQ-497-1419,2015-01-21,2016-02-21,396,2015-01,1419
RFQ-573-1418,2015-01-21,2016-02-21,396,2015-01,1418
RFQ-497-1413,2015-01-20,2016-02-11,387,2015-01,1413
RFQ-637-1411,2015-01-18,2016-02-11,389,2015-01,1411
RFQ-497-1410,2015-01-18,2016-02-10,388,2015-01,1410
RFQ-497-1409,2015-01-18,2016-02-09,387,2015-01,1409
RFQ-573-1407,2015-01-14,2016-02-08,390,2015-01,1407
RFQ-497-1403,2015-01-13,2016-02-07,390,2015-01,1403
RFQ-781-1401,2015-01-11,2016-02-07,392,2015-01,1401
RFQ-497-1395,2015-01-11,2016-02-01,386,2015-01,1395
RFQ-573-1349,2014-12-14,2016-01-28,410,2014-12,1349
RFQ-497-1339,2014-12-10,2016-01-24,410,2014-12,1339
RFQ-497-1336,2014-12-09,2016-01-21,408,2014-12,1336
RFQ-497-1335,2014-12-09,2016-01-24,411,2014-12,1335
RFQ-497-1334,2014-12-08,2016-01-20,408,2014-12,1334
RFQ-497-1333,2014-12-08,2016-01-20,408,2014-12,1333
RFQ-497-1325,2014-12-07,2016-01-19,408,2014-12,1325
RFQ-497-1324,2014-12-07,2016-01-18,407,2014-12,1324
RFQ-497-1321,2014-12-04,2016-01-18,410,2014-12,1321
RFQ-497-1319,2014-12-04,2016-01-17,409,2014-12,1319
