No,Order Number,Order Date,Client Name,Supply of,Destination
1,ORD-8473,"Feb 19, 2026",Us A.,WMJ0159893,US
2,ORD-8395,"Jan 16, 2026",Dg M.N.,BIOT-121.120	N4008426F4085 REPLACE SPLIT TYPE AC UNITS AND D...,DIEGO GARCIA
3,ORD-8362,"Jan 07, 2026",Dg M.N.,"BIOT-121.119	N4008426F4072 QC0140 - REPLACE HVAC SYSTEM, NGI...",DIEGO GARCIA
4,ORD-8303,"Dec 08, 2025",Dg M.N.,BIOT-121.118	N4008426F4044 QC5220 - REPAIR AIRFIELD DISTRESS...,DIEGO GARCIA
5,ORD-8206,"Oct 28, 2025",Army A.F.,JPN-158 GNFR-FC KAD-25-23130 Navy Exchange Services Command ...,"Kadena Air Base - Okinawa, Japan"
6,ORD-8175,"Oct 08, 2025",Usace -.M.,"KUW-129.86 W912ER26F0003 AOC Modernization Phase I, Subban A...",Subhan Air Base
7,ORD-8146,"Oct 01, 2025",Navfac P.,Subcontract OCO-128 N6274224R1321 PHASE 1 PACIFIC DETERRENCE...,Pacific Region
8,ORD-8144,"Sep 29, 2025",Usace S.,USA-155.11 W912HN25F4011 Ft Stewart Roofing Project,Ft Stewart - Georgia
9,ORD-8140,"Oct 18, 2024",Duplicate--usace H.,RMI-129 W9128A24R0005 PREQUALIFICATION OF SOURCES FOR DB AND...,USA
10,ORD-8134,"Sep 27, 2025",Usace -.M.,"KSA-129.03 24-1021 -DRAFT RFP- Site Preparation, King Abdula...",KAAB JEDDAH
11,ORD-8133,"Sep 27, 2025",Dg M.N.,"BIOT-121.112	N4008425F0390 Replace HVAC System, UPH-9, NSFDG...",DIEGO GARCIA
12,ORD-8132,"Sep 27, 2025",Dg M.N.,"BIOT-121.114	N4008425F0392 REPAIRS TO UPH-24, F-165, WO#1595...",DIEGO GARCIA
13,ORD-8131,"Sep 27, 2025",Dg M.N.,"BIOT-121.109	N4008425F0393 REPAIR DG1 ROAD INTERSECTION, BSV...",DIEGO GARCIA
14,ORD-8122,"Sep 24, 2025",Navfac E.,BAH-122Z N3319125F6226 DEMOLISH AND REPLACE (CHUs) AT SAS AL...,"SAS AL NAKHL (SAN), UAE"
15,ORD-8113,"Sep 18, 2025",Navfac E.,GRC-127 N3319125D6004 MACC Souda Bay Greece,SOUDA BAY
16,ORD-8097,"Sep 13, 2025",Dg M.N.,BIOT-121.110	X086 QC4258 - REPAIR HVAC AND FIRE PROTECTION S...,DIEGO GARCIA
17,ORD-8092,"Sep 11, 2025",Usace -.M.,"KUW-129.85 W5J9JE25F0004 UOQ Site Layout, Camp Arifjan, Kuwa...",CAMP ARIFJAN
18,ORD-8087,"Sep 10, 2025",Navfac P.,"BIOT-122 N4008425D0087 IDIQ, DB, MACC for US Navy Support Fa...","Diego Garcia, British Indian Ocean Territory"
19,ORD-8070,"Sep 04, 2025",Us A.,JPN-134 FA527025R0005 OKINAWA MULTIPLE AWARD CONSTRUCTION CO...,"Kadena, Okinawa Prefecture, Japan"
20,ORD-7932,"Jul 08, 2025",Dg M.N.,"BIOT-121.103	N4008425F0169 QC4227 - REPLACE A/C UNIT, F601, ...",DIEGO GARCIA
21,ORD-7899,"Apr 24, 2025",Navfac P.,OCO-127 N6274224R1328 MACC/IDIQCONSTRUCTION PROJECTS IN INDO...,SOUTHEAST ASIA
22,ORD-7878,"Jun 18, 2025",Dg M.N.,"BIOT-121.99 N4008425F0127 Repairs to HVAC System, F-2296, NS...",DIEGO GARCIA
23,ORD-7864,"Jun 13, 2025",Dg M.N.,BIOT-121.93 REPAIR OF WINDOWS AND FLOORING AT F-1565 AND F-1...,DIEGO GARCIA
24,ORD-7687,"Apr 17, 2025",Usace -.M.,KUW-129.84  W912ER25F0080 Mechanical Yard Work at Ahmed Al J...,AJAB
25,ORD-7668,"Apr 09, 2025",Dg M.N.,BIOT-121.80 N4008425F4074 QC2122 REPAIRS TO SYNCHROLIFT MECH...,DIEGO GARCIA
26,ORD-7637,"Mar 28, 2025",Usace -.M.,KUW-129.78 W912ER25F0070 15th brigade Facility Renovation,KUWAIT
27,ORD-7636,"Apr 03, 2025",Usace -.M.,KUW-129.79 W912ER25F0071 35th Brigade DTD and Shooting Range...,KUWAIT
28,ORD-7635,"Mar 28, 2025",Usace -.M.,KUW-129.82 W912ER25F0072 MTCC Urgent Repairs,KUWAIT
29,ORD-7626,"Mar 27, 2025",Usace -.M.,KUW-129.77  W912ER25F0037 AJAB Runway Repairs,KUWAIT
30,ORD-7616,"Mar 25, 2025",Dg M.N.,"BIOT-121.82  REPAIRS TO BARRICADED STORAGE MODULES (F-840, 8...",DIEGO GARCIA
31,ORD-7575,"Mar 07, 2025",Usace -.M.,KUW-129.81 W912ER25F0065 AOAP Lab,KUWAIT
32,ORD-7546,"Jan 19, 2023",Usace E.D.,GEO-121 W912GB22D0025 GEORGIA AND ARMENIA DBB DB CONSTRUCTIO...,GEORGIA &amp;amp; ARMENIA
33,ORD-7526,"Feb 13, 2025",Usace -.M.,KUW-129.75 W912ER25F0042 Renovation of a Prefabricated Concr...,Jahra
34,ORD-7505,"Feb 03, 2025",Dg M.N.,"BIOT-121.77 N4008425F4142 REPAIR BASKETBALL COURT FLOORING, ...",DIEGO GARCIA
35,ORD-7446,"Dec 20, 2024",Usace H.D.,RMI-121 W9128A22R0002 DB/DBB CONST. SVC - KWAJALEIN ATOLL,KWAJELEIN
36,ORD-7443,"Jan 03, 2025",Usace -.M.,KUW-129.80 W912ER25R4006 - C30 Warehouse Assessment,KUWAIT
37,ORD-7438,"Jan 03, 2025",Usace -.M.,KUW-129.80 W912ER25R4006 - C30 Warehouse Assessment,KUWAIT
38,ORD-7419,"Sep 15, 2022",Usace E.D.,ARM-121 W912GB22D0025 (GEORGIA AND) ARMENIA DBB DB CONSTRUCT...,ARMENIA
39,ORD-7414,"Dec 16, 2024",Usace -.T.,"LEB-127	W912ER25C0001 Restore Beirut Naval Base (BNB), Beiru...",BEIRUT
40,ORD-7260,"Oct 11, 2024",Usace -.M.,KUW-129.72 W912ER25F0005 MTCC Urgent Repairs,CAMP BUEHRING
41,ORD-7235,"Sep 29, 2024",Usace S.,USA-155.06 W912HN24F4015 YG9-72-2J - Booker Range - Fort Ste...,Ft. Stewart
42,ORD-7234,"Sep 27, 2024",Usace ,OCO-121.29 W912HN24F4008 Lock and Dam 25 PANHES-23-P-0000 00...,"Mississippi Valley, St. Louis"
43,ORD-7223,"Sep 29, 2024",Usace ,"USA-155.09 W912HN24F4019 Food Truck Court Construction, Fort...","SAVANNAH, GEORGIA"
44,ORD-7217,"Sep 26, 2024",Usace ,USA-155.07 W912HN24F4008 FA-90297-21 Fort Liberty - Barracks,North Carolina
45,ORD-7212,"Sep 25, 2024",Usace J.D.,"JPN-143	W912HV24C0010 FY23 OMA, Convert Vehicle Storage Ware...",KANAGAWA
46,ORD-7208,"Sep 25, 2024",Dg M.N.,BIOT-121.76	N4008424F4725 REPAIRS TO CHRIMP FACILITY 724 (QS...,DIEGO GARCIA
47,ORD-7205,"Oct 31, 2024",Usace -.M.,"KUW-129.71 W5J9JE24F0015 Weather Shelter 4, Project #1, Camp...",CAMP BUEHRING
48,ORD-7204,"Oct 31, 2024",Usace -.M.,"KUW-129.73 W5J9JE24F0017 Weather Shelter 3, Project #3, Camp...",CAMP BUEHRING
49,ORD-7198,"Oct 31, 2024",Usace -.M.,"KUW-129.70 W5J9JE24F0016 Weather Shelter 5, Project #2, Camp...",TAE-JOCMVL-24-R-5004
50,ORD-7191,"Sep 20, 2024",Dg M.N.,BIOT-121.67 N4008424F4766  QC1117 REPAIR JP-5 AND F-76 PIPEL...,DG
51,ORD-7181,"Sep 17, 2024",Dg M.N.,"BIOT-121.70 N4008424F4663 REPLACE 2-EA EMERGENCY GENERATOR, ...",DG
52,ORD-7139,"Aug 23, 2024",Usace ,"RMI-127 W9128A24C0012 Air Traffic Control Tower & Terminal, ...",MARSHALL ISLANDS
53,ORD-7120,"Aug 08, 2024",Usace J.D.,"JPN-138 W912HV24C0009 FY24 AC Repair for Server Rooms, Build...",Camp Zama
54,ORD-7103,"Aug 05, 2024",Dg M.N.,BIOT-121.66 N4008424F4645 QC2110 REPLACE DISPLAY FREEZER UNI...,DG
55,ORD-7098,"Jul 29, 2024",Dg M.N.,BIOT-121.69 N4008424F4613 _eProject 1735497 QC2090 &ndash; R...,DG
56,ORD-7076,"Jul 09, 2025",Usace -.M.,KWT-151 W5J9JE24D0007 KUWAIT CONSTRUCTION IDIQ/MATOC,KUWAIT
57,ORD-7073,"Jul 10, 2024",Dg M.N.,BIOT-121.68 N4008424F4583 QC3078 Repairs to Concrete Water T...,DG
58,ORD-7044,"Jun 14, 2024",Dg M.N.,"BIOT-121.64 N4008424F4506 QP9003-REPLACE FIRE ALARM SYSTEM, ...",DIEGO GARCIA
59,ORD-7039,"Jun 13, 2024",Dg M.N.,BIOT-121.60 N4008424F4507 eProject 1693634 REPAIR SPP F1SA A...,D. GARCIA
