name,valueUSD,poCount,baseValue,changeValue
MACRO,176384274.75,1946,141047182.11,35337092.64
MVL Nepal,103554314.23,140,103547279.04,7035.19
FIRESTOP,68012013.77,343,67886626.2,125387.57
MVL VENTURES,19808281.2,94,19602663.23,205617.97
MVL USA JV LLC,17875851.3,526,15838302.19,2037549.11
Unknown,8495760.68,97,8387397.32,108363.36
MICRON,6030402.86,217,5148561.33,881841.53
MVL Greece,4199239.48,44,3668724.26,530515.22
MW-OCS,3762870.71,20,3761582.36,1288.35
"MVL USA, INC",3721142.71,29,2256957.58,1464185.13
MVL ENERGY,1036757.3,57,808383.0,228374.3
MVL SOLUTIONS,648893.17,36,640641.52,8251.65
Yamauchi Gumi,327797.68,6,327797.68,0
CENTRICO,261105.53,25,141621.53,119484.0
MVL TRADING,166519.97,20,165270.14,1249.83
MVL ARABIA,43445.0,8,9993.83,33451.17
MVL FACILITIES,9625.16,8,9625.16,0
MVL PROJECTS,626.28,1,626.28,0
MVL Italy,1.0,3,1.0,0
