year,baseValue,changeValue,totalValue,poCount,supplierCount
2012,26750.0,0,26750.0,1,1
2013,4817116.07,99415.48,4916531.55,76,40
2014,7856734.28,2468.27,7859202.55,214,92
2015,22997313.13,13271758.0,36269071.13,292,112
2016,1015205.26,270112.3,1285317.56,139,63
2017,2175344.39,6072.52,2181416.91,87,44
2018,2870215.57,105103.38,2975318.95,115,62
2019,27302242.23,130753.5,27432995.73,119,75
2020,110435335.92,117514.56,110552850.49,172,100
2021,121535264.49,4075598.84,125610863.32,245,140
2022,5113160.63,452097.54,5565258.17,95,62
2023,10811583.11,1098816.48,11910399.59,481,224
2024,16670222.45,3632400.62,20302623.07,564,236
2025,31074713.2,5255995.53,36330708.73,859,268
2026,8548035.02,12571580.01,21119615.03,161,94
