name,quotedValue,orderedValue,poCount,quoteCount
MACRO,164579982.66,176384274.75,1946,1973
"MVL USA, INC",45014604.49,3721142.71,29,567
MVL USA JV LLC,24615933.84,17875851.3,526,671
MVL Nepal,6793118.5,103554314.23,140,199
FIRESTOP,6767399.75,68012013.77,343,331
MVL Greece,3419654.95,4199239.48,44,27
MVL-Al Othman,2918065.38,0,0,18
MVL BUILDERS JV LLC,674883.0,0,0,3
Yamauchi Gumi,654850.65,327797.68,6,58
MW-OCS,628397.48,3762870.71,20,17
MV LLC,627893.12,0,0,7
MICRON,528390.75,6030402.86,217,27
MPG JV,420127.54,0,0,6
MVL Italy,329247.46,1.0,3,16
MVL Qatar,294765.39,0,0,14
DEFENSE,9000.0,0,0,1
MVL Kuwait,8642.76,0,0,4
MVL Abu Dhabi,2688.0,0,0,1
Gov Svcs,313.14,0,0,1
Unknown,0,8495760.68,97,0
MVL TRADING,0,166519.97,20,0
MVL SOLUTIONS,0,648893.17,36,0
MVL VENTURES,0,19808281.2,94,0
MVL ENERGY,0,1036757.3,57,0
MVL FACILITIES,0,9625.16,8,0
MVL ARABIA,0,43445.0,8,0
CENTRICO,0,261105.53,25,0
MVL PROJECTS,0,626.28,1,0
