yearMonth,quotedValue,orderedValue,quoteCount,poCount
2012-09,0,26750.0,0,1
2013-01,0,57420.0,0,1
2013-03,0,243264.0,0,1
2013-04,0,159754.5,0,2
2013-05,0,639681.05,0,6
2013-06,0,348508.08,0,4
2013-08,0,104065.48,0,6
2013-09,199482.46,0.0,10,7
2013-10,318133.15,3041252.35,23,24
2013-11,84745.87,181257.61,15,16
2013-12,128594.39,141328.48,9,9
2014-01,830238.58,562139.57,31,24
2014-02,277892.94,1361496.92,31,24
2014-03,206212.0,117561.26,27,5
2014-04,816888.59,517026.8,41,26
2014-05,46367.31,1369.64,7,1
2014-06,13404.36,40079.35,3,2
2014-07,424961.59,129591.42,33,6
2014-08,573705.21,545757.06,35,23
2014-09,1402643.65,888959.7,47,23
2014-10,1041736.05,955852.73,41,17
2014-11,8704953.67,303916.02,44,13
2014-12,389509.85,2435452.08,54,50
2015-01,557145.91,118271.31,33,29
2015-02,338141.11,61012.32,33,26
2015-03,322617.41,1402511.79,29,44
2015-04,32516414.9,5216710.85,32,16
2015-05,59266939.43,26513653.89,28,23
2015-06,990451.52,769030.65,13,28
2015-07,427553.34,70173.71,6,11
2015-08,573846.8,17169.02,8,9
2015-09,6265309.63,68202.67,17,8
2015-10,597639.78,1341432.72,24,23
2015-11,843723.1,503135.68,45,40
2015-12,203718.58,187766.51,41,35
2016-01,264466.7,175201.68,43,34
2016-02,33959.2,100195.42,20,21
2016-03,319375.88,63747.81,10,9
2016-04,81731.93,126620.45,4,8
2016-05,285948.98,67171.96,10,14
2016-06,50920.88,64008.82,9,6
2016-07,47822.53,1022.53,3,2
2016-08,391.0,72139.14,2,9
2016-09,-241725.1,83628.45,3,12
2016-10,1195636.15,265513.83,6,3
2016-11,62806.34,32951.82,4,8
2016-12,545223.32,233115.64,13,13
2017-01,176973.32,35112.34,13,8
2017-02,46198.1,45783.11,8,7
2017-03,1099752.87,1175744.73,11,5
2017-04,159114.7,234601.36,5,6
2017-05,9890.11,10106.73,1,2
2017-06,1086605.48,387498.25,14,10
2017-07,215322.36,18512.93,7,6
2017-08,111434.15,120973.94,7,8
2017-09,69372.37,32035.95,8,8
2017-10,110109.99,27091.58,9,12
2017-11,142041.35,37470.32,15,13
2017-12,124107.14,56485.67,4,2
2018-01,160095.99,198306.85,7,12
2018-02,199766.36,9141.15,10,6
2018-03,325348.74,46796.93,13,10
2018-04,88486.15,58345.13,5,5
2018-05,879977.89,461893.71,18,10
2018-06,842960.47,188387.13,20,15
2018-07,481808.42,522931.12,13,10
2018-08,62853.1,66441.01,9,13
2018-09,3631111.01,61180.16,15,11
2018-10,643347.9,354274.67,12,11
2018-11,3190841.48,1001697.95,18,9
2018-12,-322920.88,5923.14,9,3
2019-01,11532.33,7632.33,6,5
2019-02,714579.56,23443.83,11,5
2019-03,8309119.1,209119.1,8,7
2019-04,125021.06,10913.94,9,4
2019-05,107000.47,116248.96,11,12
2019-06,85615.41,141517.08,6,10
2019-07,3013031.32,226450.24,16,10
2019-08,136158.16,3792984.41,14,12
2019-09,210691.99,3624596.25,15,18
2019-10,5933120.67,1345241.41,21,13
2019-11,290812.98,3869460.78,11,9
2019-12,4138153.49,14065387.4,16,14
2020-01,17851123.87,2370612.72,14,16
2020-02,337154.33,13885294.36,17,15
2020-03,415957.53,362012.82,9,9
2020-04,608531.55,532251.81,8,5
2020-05,275179.83,10240.63,5,4
2020-06,2042.08,40609.98,1,6
2020-07,768501.9,17440560.11,15,20
2020-08,1037737.96,19029646.94,23,23
2020-09,557564.43,3705943.52,28,23
2020-10,1000519.59,8322228.79,23,16
2020-11,164631.28,6975729.26,15,14
2020-12,291733.04,37877719.54,18,21
2021-01,715604.8,66542615.43,38,37
2021-02,801173.72,30533631.31,44,47
2021-03,550337.01,6220198.76,21,23
2021-04,541248.12,9250133.83,28,24
2021-05,258404.04,7247711.04,25,31
2021-06,129163.75,1861995.45,14,16
2021-07,55680.84,35914.16,5,3
2021-08,94455.95,792428.18,14,18
2021-09,83935.08,17848.16,12,9
2021-10,50372.86,1653961.53,8,12
2021-11,1728667.26,924751.05,13,18
2021-12,19853.88,529674.43,6,7
2022-01,153043.5,5408.94,5,4
2022-02,139678.09,29577.97,8,8
2022-03,727145.91,728795.03,11,8
2022-04,22173.69,2124377.8,8,7
2022-05,301216.69,196453.93,9,6
2022-06,60387.78,423050.79,6,7
2022-07,65.35,81175.82,1,1
2022-08,600332.2,481958.91,11,9
2022-09,523281.83,402104.62,12,10
2022-10,636789.71,432591.46,10,12
2022-11,473362.59,527068.89,6,10
2022-12,205564.05,132694.01,13,13
2023-01,280727.17,272098.2,16,17
2023-02,1113133.93,816556.91,23,29
2023-03,1087283.77,1778232.49,34,37
2023-04,1407636.97,1381539.67,23,23
2023-05,922870.82,926795.83,37,38
2023-06,616865.98,539068.34,31,32
2023-07,610448.59,326683.5,49,45
2023-08,2003507.92,951146.7,77,65
2023-09,831046.23,1828359.77,33,45
2023-10,998290.58,897214.21,80,70
2023-11,1300372.78,1301674.79,39,42
2023-12,1102856.31,891029.17,43,38
2024-01,1464423.3,876994.92,56,45
2024-02,1093005.65,1997920.89,48,52
2024-03,702954.71,403116.49,31,26
2024-04,480361.05,834743.99,38,38
2024-05,1222598.72,1326412.99,47,48
2024-06,1301232.52,1291960.85,26,24
2024-07,615546.58,670401.99,37,35
2024-08,2270903.01,3547067.22,48,48
2024-09,1971768.95,1328056.19,71,60
2024-10,2748267.16,2584013.47,80,82
2024-11,3167133.31,3391305.0,72,68
2024-12,1573827.82,2050629.06,37,38
2025-01,1557142.99,791665.44,68,62
2025-02,2138818.32,2082647.82,63,55
2025-03,1498138.99,1898453.69,69,63
2025-04,6271789.29,5692981.2,88,78
2025-05,6436218.15,7639538.04,91,82
2025-06,4640860.54,4401590.49,95,89
2025-07,1864808.41,1710733.51,91,94
2025-08,1969939.56,2345393.01,57,58
2025-09,2230409.45,2723810.69,78,76
2025-10,1324867.01,1595524.66,64,65
2025-11,2548708.35,4414932.98,87,80
2025-12,933961.67,1033437.21,60,57
2026-01,1616157.92,3595843.53,81,72
2026-02,2567494.18,17523771.5,87,89
