RowNo,PONumber,PODate,POName,Supplier,Entity,Project,Material,Discipline,Value,Currency,Year,Month,SourceTab,OriginalSource
1,RFPO-5829-M4004-1,23 Jan 2026,PO for AIR PAVEMENT - Portable Diesel Air Compressor – Model KDP-5/7 - WC/SQ/12891,WECARE MACHINERY TRADING – Sole Proprietorship LLC,MACRO,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,Mechanical,11436.6,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
2,RFPO-1569-O121-1,23 Jan 2026,PO for OFFICE 1807 PRINTER -  Canon advance C3525i - 11657,Al Waseem Computer Devices Tr LLC SP,MACRO,OFFICE 1803 FURNITURES,Misc.,General,1402.35,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3,RFPO-5532-M4050-2,22 Jan 2026,PO for Material Request MR-108 MR - Vehicle -Great Wall Pick-up - AG25AQ426A,"FASTWIN GROUP CO.,LIMITED",MVL USA JV LLC,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,Mechanical,1247.28,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
4,RFPO-7139-V4359-1,22 Jan 2026,PO for Sorbent Boom,Safety 1st Systems Inc,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,790.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
5,RFPO-6705-E6845-1,22 Jan 2026,PO for Screw Cover Pull,Americas Best Electricmart Inc,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,394.95,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
6,RFPO-6705-V40168-1,22 Jan 2026,PO for Towable Concrete Mixer ,HOME DEPOT USA,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,3752.65,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
7,RFPO-6705-V4363-1,22 Jan 2026,PO for Printing of Plans,COPY EXPRESS,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,2442.8,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
8,RFPO-6705-E6844-1,21 Jan 2026,PO for Warning Light,Flight Light Inc,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,588.81,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
9,RFPO-7616-V40001-1,21 Jan 2026,PO for Electrical Materials,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MVL USA JV LLC,"ORD-7616 BIOT-121-N8421B REPAIRS TO BARRICADED STORAGE MODULES (F-589, 835, 834, 839 &amp; 841) &amp; CONSTRUCT CANOPY &amp; LOUVER (F-148)",Machine / Equipments,Mechanical,35434.15,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
10,RFPO-5829-V40043-1,21 Jan 2026,"PO for AIR PAVEMENT - Pavement frame Design,  fabrication and supply Ref- QT/mvl/0012/r2",Technofab Steel Fabrication & Welding LLC,MACRO,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,Mechanical,11572.75,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
11,RFPO-5532-V4379-1,21 Jan 2026,PO for HDPE PORTABLE TOILET - AS PER APPROVED PROFORMA - SOEASY-S20260120,FOSHAN SOEASY MODULAR HOUSING CO LTD,MVL USA JV LLC,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,Mechanical,12050.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
12,RFPO-7139-V40070-1,21 Jan 2026,PO for Tracer Wire for Water & Fire Piping Utility System,American International Supply Inc.,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,1449.99,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
13,RFPO-7139-V40071-1,21 Jan 2026,PO for Steel Rebars for Sanitary Sewer Manhole,Nucor Rebar Fabrication,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,3044.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
14,RFPO-7073-V40014-1,21 Jan 2026,PO for REDUCER WITH FLANGE,Crossweld Metal Trading Co.LLC,MVL USA JV LLC,"BIOT-121.68/26 N4008424F4583 - X026 REPAIRS TO CONCRETE WATER TANK F-1655, F-308 &amp; F-1505",Subcontract,Services,6111.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
15,RFPO-6705-V40167-1,21 Jan 2026,PO for 3/8inch & 5/8in Pipe Clamps,"Scott & From Co., Inc.",MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,31.98,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
16,RFPO-7120-V40005-1,21 Jan 2026,PO for Condensate Drain Pumps,Global Services Vertiv Japan GK,"MVL USA, INC","JPN-138 W912HV24C0009 FY24 AC Repair For Server Rooms, Building 101, Camp Zama, Japan",Building Materials,Construction,2146477.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
17,RFPO-7139-V40068-1,20 Jan 2026,PO for Bulk Bags Skid Lot,Uline,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,2114.89,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
18,RFPO-6705-V40161-2,20 Jan 2026,PO for #67 Rock(Coarse Aggregate),SMITHBRIDGE GUAM,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,92284.55,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
19,RFPO-7139-V40069-1,20 Jan 2026,PO for Formwork Material for Lift Station ,Dateline Exports Inc.,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,9513.64,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
20,RFPO-5829-V40042-1,19 Jan 2026,PO for AIR PAVEMENT - XEL/Q5546/26/JC – Rev 1 - Supply of X-Cure RB90 (16 × 200L),X-Calibur Emirates LLC,MACRO,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,Mechanical,8565.47,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
21,RFPO-5829-M4003-1,19 Jan 2026,PO for AIR FIELD PAVEMENT - WC/SQ/12774 - BULL FLOAT,WECARE MACHINERY TRADING – Sole Proprietorship LLC,MACRO,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,Mechanical,370.33,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
22,RFPO-1569-O117-1,15 Jan 2026,PO for Microsoft 365 G5 GCC – Annual Subscription Licenses (Pro-Rated) - CSP 1223 MVL - NCE CSP Agreement Renewal - GCC - 2026,Managed Solution LLC,MACRO,OFFICE 1803 FURNITURES,Misc.,General,199837.44,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
23,RFPO-7878-V40007-1,15 Jan 2026,PO for Air Separator Tank,INTEGRATED CONTRACTING SUPPLIERS,MVL USA JV LLC,,Mechanical Items,Mechanical,2088.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
