yearMonth,count,value
2013-08,5,99415.48
2013-10,2,0
2014-12,4,2613.27
2015-02,1,629.36
2015-03,7,712881.6
2015-04,4,3642006.11
2015-05,2,9492471.44
2015-06,2,18583.69
2015-07,2,2396.26
2015-08,1,3032.73
2015-10,2,491.12
2015-11,2,85353.74
2015-12,5,23322.95
2016-01,3,30512.13
2016-03,3,35854.52
2016-04,1,3055.14
2016-05,2,18918.99
2016-06,2,52763.79
2016-08,3,29732.47
2016-09,7,40554.58
2016-10,1,10423.83
2016-11,4,28749.55
2016-12,4,83611.3
2017-01,1,2623.55
2017-02,2,12093.26
2017-04,1,3300.0
2017-08,2,816.48
2017-09,1,68.68
2017-10,4,1137.36
2017-11,1,750.0
2018-01,2,1210.16
2018-02,1,1150.4
2018-06,3,94309.06
2018-08,4,5618.95
2018-09,1,2814.81
2019-06,1,25800.2
2019-07,1,21703.3
2019-09,1,8250.0
2019-12,2,75000.0
2020-01,6,25691.33
2020-02,1,24152.62
2020-06,1,1224.97
2020-07,1,31180.0
2020-12,2,34880.39
2021-01,1,83021.47
2021-03,2,57523.35
2021-04,2,593153.36
2021-05,3,661171.72
2021-08,1,37925.36
2021-10,1,1584000.0
2021-11,6,548983.01
2021-12,1,509820.56
2022-01,3,4809.89
2022-06,1,308200.0
2022-08,1,122260.04
2022-09,1,2054.04
2022-11,2,14594.96
2023-01,1,90130.49
2023-02,5,180176.72
2023-03,2,10668.73
2023-06,3,21513.79
2023-07,1,4911.72
2023-08,3,7269.82
2023-09,7,735430.77
2023-10,7,46385.94
2023-11,1,1288.34
2023-12,1,1040.16
2024-01,1,12130.97
2024-02,5,446880.04
2024-03,1,1552.08
2024-04,2,73523.73
2024-05,4,86230.68
2024-07,2,78625.0
2024-08,11,1322470.27
2024-09,4,63328.78
2024-10,6,268542.02
2024-11,6,402347.34
2024-12,5,796321.6
2025-01,4,41070.25
2025-02,5,394739.08
2025-03,3,53817.7
2025-04,4,76985.9
2025-05,4,322907.37
2025-06,11,147039.64
2025-07,6,125553.49
2025-08,10,600603.3
2025-09,13,857529.16
2025-10,7,303534.74
2025-11,13,2111790.79
2025-12,5,218375.41
2026-01,7,348580.61
2026-02,6,12114126.99
