name,valueUSD,poCount,baseValue,changeValue
MACRO,175908296.83,1934,140676010.11,35232286.72
MVL Nepal,103554314.23,140,103547279.04,7035.19
FIRESTOP,67963496.44,341,67838108.87,125387.57
MVL VENTURES,19808255.63,94,19602637.66,205617.97
MVL USA JV LLC,17758709.7,523,15769353.15,1989356.55
Unknown,8352140.55,91,7536069.71,816070.84
MICRON,5960305.67,217,5115164.97,845140.7
MVL Greece,4171997.2,43,3641481.98,530515.22
MW-OCS,3760226.21,19,3758937.86,1288.35
"MVL USA, INC",3721142.71,29,2256957.58,1464185.13
MVL ENERGY,1035868.42,57,807879.37,227989.05
MVL SOLUTIONS,648893.17,36,640641.52,8251.65
Yamauchi Gumi,327797.68,6,327797.68,0
CENTRICO,314565.94,26,116301.13,198264.81
MVL TRADING,166519.97,20,165270.14,1249.83
MVL ARABIA,43445.0,8,9993.83,33451.17
MVL FACILITIES,9625.16,8,9625.16,0
MVL PROJECTS,626.28,1,626.28,0
MVL Italy,1.0,3,1.0,0
