name,valueUSD,poCount
Various,271351616.01,1881
Mechanical,34077086.91,293
Building Materials,29803596.08,211
Electrical,26088451.12,395
Mechanical Items,14694758.57,46
Misc.,11115407.09,67
Services,7171317.97,145
Architectural,4662499.85,87
Subcontract,4354809.08,70
Office Assets,2150838.77,128
Polyurethane Foam,2053677.38,2
Chemicals,2049293.15,44
Rental,1291719.97,45
Computer Peripherals,708594.51,16
Firestop/ DC 315,416862.75,37
LSA - Life Support Area,269030.17,4
Tools,213415.07,26
Paints,205005.06,7
Design,199837.44,1
Doors,152634.98,13
Fit Out Project,113404.78,7
Construction,99638.13,22
Sanitary and Toilet Accessories,96715.7,9
Fire,68381.32,18
Sandwich Panel,63654.1,5
Windows,11903.73,2
Machine / Equipments,10168.2,1
Transportation,8755.8,8
Protection,2596.59,4
Logistics,557.52,2
