name,lat,lng,country,poCount,spend
Rastra Bhusan Construction,27.7172,85.324,Nepal,21,74650000
KATKUWA SUPPLIERS,27.6915,85.342,Nepal,10,49010000
Shivam Traders,27.705,85.3145,Nepal,13,41260000
TATEKAN Constructions,27.6854,85.3155,Nepal,2,19320000
GODAWARI STEEL PVT. LTD.,27.5912,85.3852,Nepal,3,14030000
Oman Cables Industry (SAOG),23.588,58.3829,Oman,5,7630000
Fox Logistics and Construction,27.72,85.36,Nepal,1,7050000
J.M.T. GROUP PVT. LTD.,27.71,85.325,Nepal,5,6710000
Yamauchi Gumi,35.6762,139.6503,Japan,45,125000000
US Supplier Corp,40.7128,-74.006,USA,18,35000000
Kuwait Materials Co,29.3759,47.9774,Kuwait,28,52000000
Diego Garcia Logistics,-7.3195,72.4229,Diego Garcia,12,28000000
Qatar Construction LLC,25.2854,51.531,Qatar,15,42000000
